_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Achham,Babala,1680,502,-,13,2435,3
2,Achham,Baijinath,518,14,-,69,298,7
3,Achham,Bannatoli,762,384,-,3,946,1
4,Achham,Baradadivi,1101,554,-,-,1505,7
5,Achham,Basti,1860,250,-,115,2898,57
6,Achham,Batulasen,710,823,-,140,1050,6
7,Achham,Bayala,997,794,-,17,1512,-
8,Achham,Bhagyaswori,410,24,-,15,569,19
9,Achham,Bhairabsthan,1600,784,-,-,5412,19
10,Achham,Bhatakatiya,1638,1327,-,394,3298,-
11,Achham,Bhuli,737,580,-,10,833,-
12,Achham,Binayak,1154,937,-,10,2095,4
13,Achham,Bindhyawasini,1628,526,-,4,1726,-
14,Achham,Birpath,1188,660,-,5,1594,-
15,Achham,Budhakot,1694,203,-,-,1443,-
16,Achham,Chalsa,690,436,-,-,1028,3
17,Achham,Chandika(Bayalpata),605,79,-,-,1062,4
18,Achham,Chaphamandau,315,184,-,46,159,6
19,Achham,Darna,956,795,-,-,1491,13
20,Achham,Devisthan,1855,327,-,-,1585,4
21,Achham,Dhakari,1633,605,-,7,1994,30
22,Achham,Dhaku,561,397,-,-,766,-
23,Achham,Dhamali,1357,775,-,1,1872,-
24,Achham,Dhodasain,1461,808,-,-,2006,2
25,Achham,Dhudharukot,1515,241,-,1,1823,11
26,Achham,Dhungachalna,2866,932,-,5,4948,41
27,Achham,Duni,1081,213,-,-,663,3
28,Achham,Gajara,620,49,-,-,836,1
29,Achham,Hatikot,971,220,-,3,1065,7
30,Achham,Hichma,1995,639,-,-,3238,-
31,Achham,Jalapadevi,920,123,-,1,1056,24
32,Achham,Janalibandali,885,661,-,15,995,11
33,Achham,Janalikot,553,114,-,-,859,1
34,Achham,Jupu,782,332,-,-,990,37
35,Achham,Kalagau,724,352,-,207,415,30
36,Achham,Kalekanda,1190,748,-,377,2050,86
37,Achham,Kalika,919,400,-,-,1196,4
38,Achham,Kalikasthan,1043,559,-,4,1855,3
39,Achham,Khaptad,1699,488,-,-,2338,-
40,Achham,Khodasadevi,1897,479,-,6,2119,32
41,Achham,Kuika,1196,697,-,318,722,21
42,Achham,Kuntibandali,1177,502,-,-,1485,7
43,Achham,Kushkot,2426,881,-,1,2229,41
44,Achham,Layati,677,449,-,12,860,5
45,Achham,Lungra,1378,354,-,45,2138,48
46,Achham,Malatikot,646,542,-,-,801,64
47,Achham,Mangalsen,2527,764,-,650,1364,83
48,Achham,Marku,1078,219,-,8,990,1
49,Achham,Mashtanamdali,519,318,-,-,491,-
50,Achham,Mastamandau,1035,113,-,419,743,42
51,Achham,Nada,1386,575,-,-,3379,-
52,Achham,Nandegada,1605,807,-,-,1797,1
53,Achham,Nawathana,924,82,-,179,864,88
54,Achham,Oligau,883,329,-,2,1014,20
55,Achham,Patalkot,1396,225,-,9,1437,2
56,Achham,Payal,1577,479,-,3,2817,20
57,Achham,Pulletala,1169,730,-,293,868,16
58,Achham,Rahaph,2632,763,-,-,4402,29
59,Achham,Ramarosan,1596,1551,-,782,1955,61
60,Achham,Raniban,968,346,-,-,1355,-
61,Achham,Ridikot,555,20,-,-,724,2
62,Achham,Risidaha,2375,1063,-,129,2396,1
63,Achham,Santada,850,623,-,10,1262,1
64,Achham,Sera,829,458,-,-,1014,2
65,Achham,Siddheswor,1222,129,-,1,1857,15
66,Achham,Siudi,1802,996,-,39,3967,14
67,Achham,Soukat,2436,786,-,19,3873,1
68,Achham,Sutar,1018,940,-,75,1494,-
69,Achham,Thanti,1433,591,-,8,1415,3
70,Achham,Timilsain,706,216,-,1,1029,9
71,Achham,Toli,1111,1022,-,2,1736,2
72,Achham,Tosi,848,430,-,-,1158,-
73,Achham,Turmakhad,1577,664,-,203,5363,42
74,Achham,Walant,2213,409,-,-,3183,5
75,Achham,Warla,1472,932,-,7,2502,6
76,Total,-,94012,39323,-,4683,130707,1128
