_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Arghakhanchi,Adguri,865,1308,-,-,2328,54
2,Arghakhanchi,Argha,1065,1709,-,-,3143,5
3,Arghakhanchi,Arghatos,652,1492,-,28,2341,9
4,Arghakhanchi,Asurkot,519,723,-,-,2222,7
5,Arghakhanchi,Balkot,747,1320,-,-,2053,17
6,Arghakhanchi,Bangi,827,1757,-,42,3074,-
7,Arghakhanchi,Wangla,791,1764,-,3,2674,8
8,Arghakhanchi,Bhagawati,495,1500,-,1,1656,12
9,Arghakhanchi,Chhatraganj,456,973,-,-,1321,-
10,Arghakhanchi,Chidika,774,979,-,7,1555,30
11,Arghakhanchi,Dhakawang,1511,2749,-,-,4869,3
12,Arghakhanchi,Dhanchaur,883,1375,-,3,2903,10
13,Arghakhanchi,Dharapani,1531,2040,-,23,5208,35
14,Arghakhanchi,Dhatiwang,420,852,-,4,1188,9
15,Arghakhanchi,Dhikura,884,1485,-,17,2692,6
16,Arghakhanchi,Dibharna,1231,2060,-,-,3436,30
17,Arghakhanchi,Gokhunga,952,1492,-,17,2401,5
18,Arghakhanchi,Hansapur,2117,2997,-,322,5937,19
19,Arghakhanchi,Jukena,2066,2426,-,5,4808,45
20,Arghakhanchi,Jaluke,3284,938,-,19,5042,471
21,Arghakhanchi,Keemdada,893,1262,-,-,2418,1
22,Arghakhanchi,Kerunga,678,1663,-,44,1844,6
23,Arghakhanchi,Khana,719,1386,-,-,2235,-
24,Arghakhanchi,Khanchikot,590,922,-,30,1915,1
25,Arghakhanchi,Khandaha,585,1272,-,22,2333,15
26,Arghakhanchi,Khidim,840,1258,-,2,2208,15
27,Arghakhanchi,Khilji,583,986,-,-,2906,10
28,Arghakhanchi,Maidan,810,1855,-,-,2460,40
29,Arghakhanchi,Mareng,541,1421,-,2,2121,10
30,Arghakhanchi,Narpani,946,1135,-,-,2687,53
31,Arghakhanchi,Nuwakot,1644,2262,-,-,5496,29
32,Arghakhanchi,Pali,837,1258,-,-,2214,8
33,Arghakhanchi,Patauti,489,1332,-,-,1617,5
34,Arghakhanchi,Panena,423,1014,-,2,1022,12
35,Arghakhanchi,Pokharathok,954,1162,-,-,2094,28
36,Arghakhanchi,Sandhikharka,1052,1589,-,1,2795,51
37,Arghakhanchi,Siddhara,6498,1705,-,27,12148,115
38,Arghakhanchi,Simalpani,3295,1426,-,7,5962,280
39,Arghakhanchi,Sitapur,1135,1079,-,-,2750,34
40,Arghakhanchi,Subarnakhal,1267,805,-,-,2578,50
41,Arghakhanchi,Thada,2773,2382,-,569,6243,133
42,Arghakhanchi,Thulapokhara,698,1499,-,28,1445,9
43,Total,-,50320,62612,-,1225,130342,1680
