_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Baglung,Akhikarichaur,2047,2355,-,639,2522,71
2,Baglung,Amalachaur,924,1182,-,1,1763,2
3,Baglung,Amarbhumi,205,1124,-,60,1302,30
4,Baglung,Argal,174,1123,-,68,1010,34
5,Baglung,Arjewa,384,551,-,3,820,57
6,Baglung,Batakachaur,927,1453,-,164,1570,45
7,Baglung,Bhakunde,466,937,-,172,1924,246
8,Baglung,Bhimpokhara,384,984,-,-,1032,52
9,Baglung,Bhinggithe,1282,1635,-,105,2254,38
10,Baglung,Bihunkot,425,2044,-,20,1412,21
11,Baglung,Binamare,583,588,-,2,873,3
12,Baglung,Boharagaun,1642,1796,-,128,1886,19
13,Baglung,Bongadovan,2068,2065,-,133,2803,6
14,Baglung,Bowang,2606,1707,-,633,1743,16
15,Baglung,Burtiwang,1579,1750,-,9,2441,45
16,Baglung,Chhisti,1314,1770,-,11,2525,92
17,Baglung,Dagatundada,937,1861,-,129,2422,108
18,Baglung,Damek,643,2356,-,139,2823,32
19,Baglung,Darling,2159,2019,-,113,2080,7
20,Baglung,Devisthan,2459,2256,-,194,2847,11
21,Baglung,Dhamja,383,942,-,147,991,24
22,Baglung,Dhudhilabhati,396,1519,-,-,2180,69
23,Baglung,Dhullu Gaidi,1004,1317,-,-,1505,22
24,Baglung,Dhullubaskot,572,1294,-,-,1161,184
25,Baglung,Gwalichaur,541,1312,-,104,1534,33
26,Baglung,Harichaur,511,1401,-,12,1742,77
27,Baglung,Hatiya,629,1814,-,2,2748,42
28,Baglung,Heel,369,1509,-,104,1395,47
29,Baglung,Hugdisheer,716,1615,-,12,1555,182
30,Baglung,Jaljala,1028,1303,-,66,1624,43
31,Baglung,Baglung Municipality,1017,2190,-,21,2770,202
32,Baglung,Kandebas,260,885,-,20,869,91
33,Baglung,Khunga,1076,1161,-,202,841,9
34,Baglung,Kusmishera,401,810,-,-,1106,11
35,Baglung,Lekhani,179,972,-,26,1091,39
36,Baglung,Malika,262,687,-,-,584,3
37,Baglung,Malma,347,1340,-,-,1941,6
38,Baglung,Narayansthan,511,624,-,25,1220,12
39,Baglung,Narethanti,376,1029,-,10,1682,37
40,Baglung,Nisi,4592,1232,-,1542,3068,16
41,Baglung,Paiyunpata,809,1060,-,-,1707,17
42,Baglung,Paiyunthanthap,627,1172,-,4,1587,53
43,Baglung,Palakot,466,905,-,4,1234,112
44,Baglung,Pandavkhani,798,1113,-,104,960,73
45,Baglung,Rajkut,846,1001,-,60,1176,-
46,Baglung,Ranasinkiteni,947,1045,-,516,1506,46
47,Baglung,Rangkhani,544,1504,-,50,1080,208
48,Baglung,Rayadanda,317,979,-,32,1621,7
49,Baglung,Resh,429,1560,-,38,2031,57
50,Baglung,Righa,560,1411,-,11,1667,142
51,Baglung,Salyan,280,832,-,-,1059,-
52,Baglung,Sarkuwa,379,678,-,1,946,12
53,Baglung,Singana,220,725,-,32,1422,45
54,Baglung,Sisakhani,415,783,-,55,789,40
55,Baglung,Sukhaura,293,730,-,-,706,8
56,Baglung,Khungkhani,822,920,-,468,592,-
57,Baglung,Taman,1225,841,-,642,564,1
58,Baglung,Tangram,344,1243,-,45,797,243
59,Baglung,Tara,546,2333,-,78,1368,24
60,Baglung,Tityang,364,899,-,43,1498,73
61,Total,-,49609,78246,-,7199,93969,3245
