_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Baitadi,Amchaur,1823,1594,-,-,2907,-
2,Baitadi,Basantapur,1034,351,-,-,1161,2
3,Baitadi,Basuling,1190,623,-,-,1814,-
4,Baitadi,Bhatana,1796,1061,-,93,1168,99
5,Baitadi,Bhumeswor,1614,457,-,543,1437,82
6,Baitadi,Bijayapur,1604,1104,-,"",1648,-
7,Baitadi,Bisalpur,1659,1034,-,411,1614,88
8,Baitadi,Bumiraj,1890,1468,-,-,1784,-
9,Baitadi,Chaukham,2072,605,-,-,1795,9
10,Baitadi,Dasharathchanda Municipality,8410,1946,-,114,8929,81
11,Baitadi,Dehimandau,1517,750,-,-,2359,2
12,Baitadi,Deulek,1179,686,-,-,1441,3
13,Baitadi,Dhikarim/Rim,1837,1101,-,7,1691,-
14,Baitadi,Dhikasintad/Sitad,2084,1168,-,2,2064,-
15,Baitadi,Dhungad,1552,645,-,-,1789,30
16,Baitadi,Dilasaini,2419,1617,-,3,2101,4
17,Baitadi,Durga Bhabani,1363,428,-,-,1296,-
18,Baitadi,Durgasthan,1509,967,-,5,2075,-
19,Baitadi,Gajari,2714,1403,-,-,2650,25
20,Baitadi,Giregada,1865,671,-,-,2087,3
21,Baitadi,Gokuleswor,1951,1106,-,-,1949,2
22,Baitadi,Gujar,2066,183,-,207,1327,79
23,Baitadi,Gurukhola,1626,641,-,-,1945,4
24,Baitadi,Gwallek,1940,574,-,-,2091,-
25,Baitadi,Hat,905,483,-,1,652,-
26,Baitadi,Hatairaj,636,268,-,-,696,-
27,Baitadi,Kailpal,1120,830,-,4,1873,3
28,Baitadi,Kataujpani,2259,1183,-,-,2398,-
29,Baitadi,Kotila,1559,882,-,-,1035,5
30,Baitadi,Kotpetara,4361,1319,-,2,3574,6
31,Baitadi,Kulau,1074,816,-,-,1669,-
32,Baitadi,Kuwakot,2532,1090,-,8,1764,-
33,Baitadi,Mahadevsthan,1621,1040,-,3,1559,5
34,Baitadi,Mahakali,1038,913,-,-,1708,-
35,Baitadi,Maharudra,1478,968,-,-,2240,1
36,Baitadi,Malladehi,1935,991,-,2,1524,-
37,Baitadi,Mathairaj,1237,761,-,2,1392,2
38,Baitadi,Maunali,1266,820,-,-,1552,-
39,Baitadi,Melauli,1302,967,-,25,2342,-
40,Baitadi,Nagarjun,1065,330,-,-,1223,-
41,Baitadi,Nwadeu,2197,1048,-,1,2113,6
42,Baitadi,Nwali,1242,658,-,-,1220,-
43,Baitadi,Pancheswor,1509,1010,-,-,2218,-
44,Baitadi,Patan,2417,470,-,73,2120,5
45,Baitadi,Raudidewal,1870,771,-,196,2161,241
46,Baitadi,Rauleswor,1937,772,-,220,1866,39
47,Baitadi,Rudreswor,1650,852,-,4,1593,7
48,Baitadi,Sakar,1619,768,-,-,1781,-
49,Baitadi,Salena,1232,765,-,135,1402,116
50,Baitadi,Sarmali,2377,1892,-,-,3754,17
51,Baitadi,Shankarpur,1433,459,-,-,1356,2
52,Baitadi,Shibanath,1725,1252,-,-,2308,-
53,Baitadi,Shikharpur,2532,1622,-,4,2849,7
54,Baitadi,Shivaling,2623,952,-,5,2545,-
55,Baitadi,Siddhapur,1270,736,-,2,1594,-
56,Baitadi,Siddheswor,2955,937,-,-,3362,9
57,Baitadi,Sigash,2562,1157,-,1,2908,41
58,Baitadi,Silanga,1703,550,-,16,1709,-
59,Baitadi,Sree Kedar,1010,415,-,-,1111,-
60,Baitadi,Sreekot,1566,766,-,-,1528,2
61,Baitadi,Talladehi,1508,550,-,-,1065,-
62,Baitadi,Thalakanda,1873,702,-,6,1988,13
63,Baitadi,Udayadeb,1760,1235,-,157,2289,94
64,Total,-,116672,56183,-,2252,125163,1134
