_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Bajhang,Banjh,3004,872,1,4,2625,5
2,Bajhang,Bhairabanath,2761,775,1,-,1870,26
3,Bajhang,Bhamchaur,2829,1130,5,319,2868,-
4,Bajhang,Bhatekhola,3044,494,3,1,1337,5
5,Bajhang,Byasi,2810,770,21,389,1969,408
6,Bajhang,Chainpur,4025,609,12,220,1717,163
7,Bajhang,Chaudhari,2330,377,"",1,1318,3
8,Bajhang,Dahabagar,4808,1179,3,3642,5294,15
9,Bajhang,Dangaji,2386,1031,3,25,1630,15
10,Bajhang,Datola,3011,692,2,162,1047,68
11,Bajhang,Daulichaur,3623,367,-,2,1580,12
12,Bajhang,Deulekh,3025,660,-,35,1861,26
13,Bajhang,Deulikot,4709,1757,5,8,3105,21
14,Bajhang,Dhamena,2252,574,2,122,1340,28
15,Bajhang,Gadaraya,2597,348,11,396,823,38
16,Bajhang,Hemantabada,2585,265,1,32,847,11
17,Bajhang,Kadel,3960,473,2,15,1776,9
18,Bajhang,Kailash,1573,305,-,194,994,7
19,Bajhang,Kalukheti,2459,248,-,-,1512,1
20,Bajhang,Kanda,2122,52,231,7225,2200,12
21,Bajhang,Kaphalaseri,4817,1171,8,288,3163,145
22,Bajhang,Khiratadi,5151,1344,10,-,2882,6
23,Bajhang,Koiralakot,1980,736,-,-,918,29
24,Bajhang,Kot Bhairab,1779,428,2,-,861,6
25,Bajhang,Kotdewal,2683,438,-,-,1183,9
26,Bajhang,Lamatola,1694,172,1,72,975,73
27,Bajhang,Lekgau,3443,370,2,210,1364,60
28,Bajhang,Luyanta,2295,326,-,-,882,-
29,Bajhang,Majhigau,3832,369,1,-,2304,-
30,Bajhang,Malumela,1533,465,-,-,1130,6
31,Bajhang,Masta,2347,387,-,201,1134,36
32,Bajhang,Matela,1541,308,16,192,528,79
33,Bajhang,Maulali,2176,501,1,16,1243,13
34,Bajhang,Melbisauni,2804,523,3,-,1377,-
35,Bajhang,Parakatne,2370,803,1,-,1540,-
36,Bajhang,Patadewal,2287,153,2,1,1538,12
37,Bajhang,Pauwagadhi,1676,310,15,25,770,37
38,Bajhang,Pipalkot,3105,777,-,305,1891,27
39,Bajhang,Rayal,4197,1095,-,-,3303,75
40,Bajhang,Rilu,2835,1096,-,834,1506,96
41,Bajhang,Rithapata,2240,281,3,12,769,18
42,Bajhang,Sainpasela,3819,708,1,499,2298,19
43,Bajhang,Subeda,3263,287,-,-,1767,3
44,Bajhang,Sunikot,1986,349,-,15,1210,14
45,Bajhang,Sunkuda,5261,986,2,12,3304,23
46,Bajhang,Surma,1866,535,7,9,478,53
47,Bajhang,Syandi,3011,1203,2,5,2023,16
48,Total,-,135904,29099,380,15488,80054,1728
