_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Bajura,Atichaur,3246,723,1,1,2131,21
2,Bajura,Baddhu,3750,521,-,255,3189,8
3,Bajura,Bai,2801,490,-,426,2561,-
4,Bajura,Barhabis,3421,1331,4,-,3503,25
5,Bajura,Bichhaiya,1914,350,55,2398,2804,-
6,Bajura,Bramhatola,3855,860,-,9,2580,51
7,Bajura,Budhiganga,3125,1085,5,19,2624,16
8,Bajura,Chhatara,1906,665,2,-,1332,8
9,Bajura,Dahakot,6046,684,3,3588,3929,-
10,Bajura,Dogadi,2423,572,8,-,1769,-
11,Bajura,Gotree,2323,824,89,671,1186,98
12,Bajura,Gudukhati,3267,895,3,-,2458,10
13,Bajura,Jagannath,2775,532,-,647,2658,14
14,Bajura,Jayabageswori,1756,677,3,14,2157,4
15,Bajura,Jugada,5266,806,-,2,3665,29
16,Bajura,Jukot,1625,485,17,409,535,28
17,Bajura,Kailashmandau,4860,1527,4,69,4573,64
18,Bajura,Kanda,2418,780,"","",2562,7
19,Bajura,Kolti,4569,1224,29,4083,4850,290
20,Bajura,Kotila,1900,516,-,7,1613,-
21,Bajura,Kuldeumadau,2798,810,-,-,2086,22
22,Bajura,Manakot,2685,419,-,98,1580,18
23,Bajura,Martadi,4433,1365,5,533,1902,25
24,Bajura,Pandusain,4220,1020,28,3685,3658,353
25,Bajura,Rugin,2510,407,1,842,3619,47
26,Bajura,Sappata,3382,953,1,479,4259,101
27,Bajura,Tolidewal,2275,1068,3,"",1895,10
28,Total,-,85549,21589,261,18235,71678,1249
