_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Banke,Bageswari,2550,1295,-,36,7532,96
2,Banke,Bankatawa,3539,2541,-,880,7508,520
3,Banke,Bankatti,1250,1450,-,6,1866,53
4,Banke,Basudevpur,873,423,-,63,899,91
5,Banke,Baijapur,3889,1866,-,2069,4767,2264
6,Banke,Belahari,907,803,-,246,732,20
7,Banke,Belbhar,1169,861,-,21,1036,87
8,Banke,Betahani,1624,1718,-,67,1873,108
9,Banke,Bhabaniyapur,549,381,-,5,449,20
10,Banke,Binauna,1795,1321,-,492,2108,874
11,Banke,Chisapani,1578,329,-,137,3301,271
12,Banke,Ganapur,936,548,-,56,903,153
13,Banke,Gangapur,1363,1098,-,21,1942,27
14,Banke,Hirminiya,1530,839,-,247,1369,59
15,Banke,Holiya,1334,1382,-,27,1380,101
16,Banke,Indrapur,1373,839,-,27,913,46
17,Banke,Jaispur,20,8,-,8,9,-
18,Banke,Kalaphanta,1226,524,-,115,1067,6
19,Banke,Kamdi,1659,2145,-,135,5083,135
20,Banke,Kachanapur,3865,1273,-,1138,4754,697
21,Banke,Katkuiya,730,288,-,246,465,2
22,Banke,Khajurakhurda,751,750,-,48,843,9
23,Banke,Khaskarkando,483,333,-,11,319,17
24,Banke,Khaskusma,4285,444,-,232,6000,225
25,Banke,Kohalpur,4076,2017,-,294,10139,459
26,Banke,Laxmanpur,865,450,-,-,1085,-
27,Banke,Mahadevpuri,2223,1529,-,690,5681,420
28,Banke,Manikapur,1274,920,-,54,1649,249
29,Banke,Matehiya,1626,1100,-,154,1258,250
30,Banke,Narainapur,1347,579,-,162,1116,52
31,Banke,Naubasta,4063,1734,-,286,7291,928
32,Banke,Nepalgunj Municipality,642,402,-,70,1409,132
33,Banke,Paraspur,516,529,-,3,534,-
34,Banke,Phattepur,3997,3280,-,1445,6465,486
35,Banke,Piprahawa,463,330,-,4,759,52
36,Banke,Puraina,629,390,-,2,715,6
37,Banke,Puraini,498,244,-,30,355,52
38,Banke,Radhapur,803,197,-,7,2810,116
39,Banke,Rajhena,2073,1497,-,285,6468,591
40,Banke,Raniyapur,1198,777,-,337,2073,7
41,Banke,Saigaun,865,533,"",-,1413,38
42,Banke,Samserganj,1436,1155,-,60,1821,123
43,Banke,Sitapur,2188,639,-,54,5581,30
44,Banke,Sonpur,1921,915,-,13,2004,7
45,Banke,Titihiriya,1739,1454,-,231,3854,120
46,Banke,Udharapur,1862,1072,-,125,3125,110
47,Banke,Udayapur,530,349,-,-,441,217
48,Total,-,76112,45551,-,10639,125164,10326
