_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Bardiya,Badalpur,1476,948,-,358,2576,577
2,Bardiya,Baganaha,2334,1818,-,1771,4122,258
3,Bardiya,Baniyabhar,3078,2368,-,863,6727,923
4,Bardiya,Belawa,3690,1993,-,936,8450,410
5,Bardiya,Bhimapur,1740,1375,-,701,3588,583
6,Bardiya,Daulatpur,1469,1027,-,900,2563,414
7,Bardiya,Deudakala,3909,3270,-,1046,9558,661
8,Bardiya,Dhadhawar,3818,3371,-,1138,9089,1644
9,Bardiya,Dhodhari,1610,1402,-,535,4072,343
10,Bardiya,Gola,1424,1033,-,359,2457,622
11,Bardiya,Gulariya Municipality,9382,6055,-,1173,16558,1117
12,Bardiya,Jamuni,2594,1928,-,99,7869,14
13,Bardiya,Kalika,2478,1679,-,144,5901,535
14,Bardiya,Khairi Chandanpur,1755,1256,-,473,2960,550
15,Bardiya,Magaragadi,2948,2872,-,578,6619,511
16,Bardiya,Mahamadpur,2310,1716,-,217,4098,612
17,Bardiya,Manau,1220,1075,-,205,2452,367
18,Bardiya,Manpur Mainapokhar,1363,1335,-,507,2649,78
19,Bardiya,Manpur Tapara,2469,998,-,721,3505,754
20,Bardiya,Motipur,3907,3101,-,915,8669,806
21,Bardiya,Naya Gaun,1239,679,-,661,2108,550
22,Bardiya,Neulapur,2542,1624,-,524,5107,658
23,Bardiya,Padanaha,1268,1533,-,790,2797,304
24,Bardiya,Pasupatinagar,1207,1141,-,388,2824,423
25,Bardiya,Patabhar,3124,1977,-,566,4905,1308
26,Bardiya,Rajapur,1447,1494,-,820,3555,687
27,Bardiya,Sanoshree,2803,1771,-,451,7591,167
28,Bardiya,Sivapur,1687,1207,-,326,2541,710
29,Bardiya,Sorhawa,2480,2196,-,228,5844,216
30,Bardiya,Suryapatawa,1686,1451,-,642,3283,459
31,Bardiya,Taratal,1509,1239,-,218,4508,285
32,Bardiya,Thakudwara,1695,1169,-,300,3111,572
33,Total,-,77661,58101,-,19553,162656,18118
