_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Bhaktapur,Bageswori,879,269,-,9,1486,
2,Bhaktapur,Balkot,395,18,-,19,280,
3,Bhaktapur,Bhaktapur Municipality,59,64,-,41,650,
4,Bhaktapur,Changunarayan,758,138,-,65,2366,
5,Bhaktapur,Chhaling,973,303,-,9,2996,
6,Bhaktapur,Chitapol,913,106,-,87,1900,
7,Bhaktapur,Dadhikot,1005,59,-,162,1159,
8,Bhaktapur,Duwakot,569,18,-,91,1006,
9,Bhaktapur,Gundu,776,125,-,32,2020,
10,Bhaktapur,Jhaukhel,659,142,-,219,1420,
11,Bhaktapur,Kautunje,412,59,-,77,635,
12,Bhaktapur,Madhyapur Thimi Municipality,457,19,-,29,763,
13,Bhaktapur,Nagarkot,351,286,-,-,2951,
14,Bhaktapur,Nankhel,625,92,-,17,2299,
15,Bhaktapur,Sipadol,703,165,-,36,2277,
16,Bhaktapur,Sirutar,322,26,-,16,486,
17,Bhaktapur,Sudal,1380,616,-,10,3328,
18,Bhaktapur,Tathali,675,251,-,91,1883,
19,Total,-,11911,2756,-,1010,29905,
