_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Bhojpur,Aamtep,1446,494,-,-,2260,479
2,Bhojpur,Annapurna,723,389,-,48,1092,274
3,Bhojpur,Baikunthe,1615,584,-,-,2087,617
4,Bhojpur,Basikhora,2347,541,-,11,3469,1588
5,Bhojpur,Washingtharpu,1135,446,-,74,1249,220
6,Bhojpur,Basteem,1549,338,-,3,2557,551
7,Bhojpur,Bhaisipankha,988,531,-,30,954,536
8,Bhojpur,Bhojpur,1154,422,1,2,2452,932
9,Bhojpur,Yoon,1345,464,-,152,1282,300
10,Bhojpur,Bhulke,1310,478,-,-,1957,334
11,Bhojpur,Bokhim,1034,778,-,10,1929,588
12,Bhojpur,Boya,2069,730,-,253,2258,692
13,Bhojpur,Champe,1664,328,-,65,1746,660
14,Bhojpur,Changre,1765,639,3,56,2994,387
15,Bhojpur,Charambi,1991,425,-,-,2880,628
16,Bhojpur,Chaukidada,1118,466,-,210,1457,349
17,Bhojpur,Chhinamakhu,1436,535,-,134,1005,591
18,Bhojpur,Dalgaun,1272,414,-,-,1921,564
19,Bhojpur,Deurali,3785,750,-,82,5320,585
20,Bhojpur,Dewantar,1660,755,-,92,2447,674
21,Bhojpur,Dhodlekhani,829,367,-,4,1052,357
22,Bhojpur,Dobhane,2895,1311,91,475,1083,744
23,Bhojpur,Dummana,3827,858,-,-,4549,979
24,Bhojpur,Gogane,833,455,-,11,1038,245
25,Bhojpur,Gupteshwor,941,463,-,4,1391,254
26,Bhojpur,Hasanpur,2149,259,-,16,3817,1055
27,Bhojpur,Helauchha,1839,817,-,122,2228,644
28,Bhojpur,Homtang,3357,939,-,-,8785,2595
29,Bhojpur,Jarayotar,2819,666,-,6,4461,1401
30,Bhojpur,Keemalung,582,464,58,185,349,211
31,Bhojpur,Keurenipani,2492,412,-,14,3085,489
32,Bhojpur,Khairang,1232,740,-,-,3259,662
33,Bhojpur,Khartamchha,898,645,-,155,501,175
34,Bhojpur,Khatamma,1115,518,-,37,337,387
35,Bhojpur,Khawa,1142,417,-,7,557,567
36,Bhojpur,Kot,1839,923,-,-,2536,606
37,Bhojpur,Kudak Kaule,1270,664,-,179,1118,200
38,Bhojpur,Kulung,1998,795,8,319,2570,531
39,Bhojpur,Lekharka,1098,611,-,66,874,460
40,Bhojpur,Mane Bhanjyang,1710,715,-,2,3146,302
41,Bhojpur,Mulpani,1717,307,-,220,1664,379
42,Bhojpur,Nagi,534,308,-,94,410,350
43,Bhojpur,Nepaledada,2003,490,-,129,2304,537
44,Bhojpur,Okhre,1532,436,-,1,960,503
45,Bhojpur,Pangcha,1995,527,-,160,3033,514
46,Bhojpur,Patle Pani,1993,851,-,-,3655,992
47,Bhojpur,Pawala,700,266,-,-,1215,242
48,Bhojpur,Pyauli,1323,402,-,-,2100,327
49,Bhojpur,Ranibas,3138,1143,2,-,5970,1202
50,Bhojpur,Sangpang,1677,810,47,251,1684,707
51,Bhojpur,Sano Dumma,1305,424,-,-,2789,475
52,Bhojpur,Shyamsila,1172,536,2,24,1647,503
53,Bhojpur,Siddheswor,1075,717,-,37,2171,163
54,Bhojpur,Sindrang,533,350,-,7,1156,372
55,Bhojpur,Taksar,1479,500,-,25,3369,345
56,Bhojpur,Thidingkha,1069,526,-,41,1035,347
57,Bhojpur,Thulo Dumma,1236,174,-,22,2281,595
58,Bhojpur,Timma,1491,750,-,146,883,506
59,Bhojpur,Tiwari Bhanjyang,1205,547,-,3,1617,414
60,Bhojpur,Tunggechha,1128,513,-,121,1673,243
61,Bhojpur,Balankha,579,430,-,-,1083,285
62,Bhojpur,Yaku,1943,668,-,7,3429,533
63,Bhojpur,Yangpang,2408,603,-,-,3240,1057
64,Total,-,99506,35824,212,4112,139420,36004
