_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Dadeldhura,Ajayameru,1853,593,-,-,1983,-
2,Dadeldhura,Alital,10463,1456,-,24,13179,375
3,Dadeldhura,Amargadhi Municipality,8150,2139,-,15,7277,104
4,Dadeldhura,Ashigram,2192,581,-,75,1949,64
5,Dadeldhura,Bagarkot,3204,900,-,58,2930,28
6,Dadeldhura,Belapur,2928,1927,-,1,4360,13
7,Dadeldhura,Bhadrapur,1373,564,-,-,1400,-
8,Dadeldhura,Bhageswor,2062,1014,-,-,2360,18
9,Dadeldhura,Chipur,1762,702,-,-,2506,6
10,Dadeldhura,Dewal Dibyapur,3553,1440,-,44,4269,40
11,Dadeldhura,Ganeshpur,2000,326,-,187,1242,109
12,Dadeldhura,Gankhet,5485,593,-,184,8395,22
13,Dadeldhura,Jogbuda,13839,3117,-,2,18460,125
14,Dadeldhura,Kailapalamandau,1993,596,-,-,1762,2
15,Dadeldhura,Koteli,1544,895,-,330,1836,132
16,Dadeldhura,Manilek,1534,734,-,7,1740,39
17,Dadeldhura,Mashtamandau,1667,296,-,12,1358,43
18,Dadeldhura,Nawadurga,1223,497,-,166,1335,39
19,Dadeldhura,Rupal,3544,1557,-,3,4284,1
20,Dadeldhura,Samejee,1389,582,-,228,1184,47
21,Dadeldhura,Sirsha,8452,1923,-,25,8135,100
22,Total,-,80210,22432,-,1361,91944,1307
