_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Dailekh,Awal Parajul,2098,740,-,-,3392,-
2,Dailekh,Badabhairab,1594,561,-,27,2135,6
3,Dailekh,Badakhola,814,326,-,2,1312,21
4,Dailekh,Badalamji,2508,583,-,-,2757,118
5,Dailekh,Baluwatar,1611,647,-,540,2550,35
6,Dailekh,Bansi,1383,568,-,6,1679,43
7,Dailekh,Baraha,2180,519,-,3,4110,37
8,Dailekh,Belpata,837,262,-,5,1759,189
9,Dailekh,Bhawani,1359,277,-,456,2082,15
10,Dailekh,Bindhyabasini,1562,596,-,11,2107,52
11,Dailekh,Bisalla,2449,1345,-,86,3590,2
12,Dailekh,Chamunda,3491,1906,-,55,5189,16
13,Dailekh,Chauratha,1646,576,-,-,2006,83
14,Dailekh,Dada Parajul,2313,769,-,9,4985,235
15,Dailekh,Dullu,1463,282,-,-,1917,230
16,Dailekh,Gamaudi,1627,429,-,8,2683,33
17,Dailekh,Gauri,1180,305,-,-,1915,108
18,Dailekh,Goganpani,2204,325,-,4,4130,-
19,Dailekh,Jaganath,1625,447,-,45,2819,11
20,Dailekh,Jambukandh,2065,869,-,206,3077,145
21,Dailekh,Kal Bhairab,1696,681,-,70,2875,160
22,Dailekh,Kalika,1522,396,-,156,2449,-
23,Dailekh,Kasikandh,2541,912,-,301,4662,-
24,Dailekh,Katti,3122,1058,-,60,4035,31
25,Dailekh,Khadgabada,2747,421,-,3,4572,29
26,Dailekh,Kharigaira,1679,739,-,94,2480,256
27,Dailekh,Kusapani,1588,1028,-,32,2651,67
28,Dailekh,Lakandra,1667,969,-,-,1907,17
29,Dailekh,Lankuri,1806,820,-,28,3290,74
30,Dailekh,Lalikanda,3100,834,-,-,3481,17
31,Dailekh,Layati Bindrasaini,2421,1147,-,1455,3586,141
32,Dailekh,Bhairi Kalikathum,1985,646,-,-,2156,2
33,Dailekh,Malika,2540,694,-,11,4326,23
34,Dailekh,Meheltoli,1883,480,-,42,2810,6
35,Dailekh,Narayan Municipality,6193,2275,-,229,11643,748
36,Dailekh,Naule Katuwal,1954,631,-,902,2517,83
37,Dailekh,Nepa,2118,710,-,-,3893,29
38,Dailekh,Naumule,994,293,-,-,1095,113
39,Dailekh,Dwari,1570,585,-,740,2682,8
40,Dailekh,Padukasthan,2015,609,-,6,3083,144
41,Dailekh,Pagnath,1133,537,-,6,2726,-
42,Dailekh,Piladi,1654,511,-,17,2179,6
43,Dailekh,Pipalkot,1312,751,-,63,2441,33
44,Dailekh,Chhiudi Pusakot,2168,695,-,8,3450,68
45,Dailekh,Rakam Karnali,701,228,-,3,922,59
46,Dailekh,Raniban,2158,836,-,177,3057,1
47,Dailekh,Rawatkot,2281,560,-,10,3072,32
48,Dailekh,Ruma,1268,433,-,17,1674,10
49,Dailekh,Salleri,2117,719,-,14,2447,117
50,Dailekh,Sattala,1348,593,-,13,2196,5
51,Dailekh,Seri,1527,349,-,92,2032,64
52,Dailekh,Sigaudi,1457,1015,-,7,2599,1
53,Dailekh,Sinhasain,2142,1502,-,464,2332,71
54,Dailekh,Tilepata,1505,967,-,-,1302,2
55,Dailekh,Toli,1459,586,-,98,2572,201
56,Dailekh,Tolijaisi,1805,1032,-,-,1912,4
57,Total,-,107185,39574,-,6581,163300,4001
