_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Dang,Baghmare,3108,959,-,400,5824,180
2,Dang,Bela,7543,2664,-,396,8712,395
3,Dang,Bijauri,5269,1173,-,500,5592,532
4,Dang,Chaulahi,2680,2052,-,1602,5520,1351
5,Dang,Dhanauri,3909,657,-,1661,3683,925
6,Dang,Dharna,3176,741,-,163,4433,182
7,Dang,Dhikpur,4594,1486,-,1455,4810,268
8,Dang,Duruwa,6474,1201,-,1460,5881,1725
9,Dang,Gadhawa,3664,2011,-,465,4729,559
10,Dang,Gangapraspur,4536,1864,-,566,4719,714
11,Dang,Gobardiya,5320,1935,-,486,8758,1187
12,Dang,Goltakuri,2565,381,-,390,4055,381
13,Dang,Halwar,3863,778,-,182,5612,358
14,Dang,Hansipur,6433,745,-,115,9147,507
15,Dang,Hapur,7150,932,-,334,8639,828
16,Dang,Hekuli,3670,1190,-,2425,3168,1283
17,Dang,Kabhre,4302,1336,-,17,6391,27
18,Dang,Koilabas,539,3,-,-,1366,9
19,Dang,Lalmatiya,3484,2700,-,694,9183,1310
20,Dang,Laxmipur,5091,1116,-,657,6585,584
21,Dang,Loharpani,3998,1002,-,-,7866,33
22,Dang,Manpur,6297,1860,-,1385,6570,1140
23,Dang,Narayanpur,5470,1769,-,1630,5123,1765
24,Dang,Panchakule,3193,484,-,1002,5299,296
25,Dang,Pawan Nagar,2769,1472,-,327,4606,430
26,Dang,Phulbari,2722,543,-,151,4367,446
27,Dang,Purandhara,9892,1596,-,687,16614,760
28,Dang,Rajpur,11203,2333,-,576,14614,598
29,Dang,Rampur,6178,1431,-,449,7382,502
30,Dang,Saidha,5323,465,-,1,7115,82
31,Dang,Satbariya,6488,1887,-,1630,6597,489
32,Dang,Saudiyar,3865,2852,-,852,5023,1188
33,Dang,Shantinagar,2848,974,-,97,5912,164
34,Dang,Shreegaun,2699,626,-,561,3077,590
35,Dang,Sisahaniya,2756,2621,-,1912,6733,1465
36,Dang,Sonpur,3080,1686,-,1742,5582,871
37,Dang,Syuja,3235,836,-,126,4041,95
38,Dang,Tarigaun,3186,1681,-,1177,4773,1007
39,Dang,Ghorahi Municipality,8086,2317,-,1532,11803,2305
40,Dang,Tulsipur Municipality,5958,2663,-,1197,13576,912
41,Dang,Urahari,5089,1082,-,1291,6167,1512
42,Total,-,191705,58104,-,32293,269647,29955
