_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Darchula,Bhagabati,2304,961,3,-,1902,7
2,Darchula,Boharigau,3532,1178,-,-,2428,-
3,Darchula,Bramhadev,1261,234,-,1,939,-
4,Darchula,Byash,398,-,15,8,-,-
5,Darchula,Chhapari,1962,413,-,-,1714,-
6,Darchula,Dadakot,1257,560,-,-,801,-
7,Darchula,Dattu,1634,677,-,-,1007,-
8,Darchula,Dethala,2019,663,-,-,1541,-
9,Darchula,Dhap,3546,819,9,3,2633,-
10,Darchula,Dhari,2675,718,-,373,2232,20
11,Darchula,Dhaulakot,1883,380,-,166,1263,3
12,Darchula,Dhuligada,4979,613,3,672,4394,12
13,Darchula,Eyarkot,1868,563,-,1470,1379,21
14,Darchula,Ghusa,1856,102,-,2608,718,-
15,Darchula,Gokuleswor,2245,592,-,-,1451,3
16,Darchula,Guljar,3276,641,-,4,3826,54
17,Darchula,Gwani,3710,890,2,18,2683,-
18,Darchula,Hikila,1625,430,2,239,1702,1
19,Darchula,Hunainath,1494,420,2,-,886,-
20,Darchula,Huti,1390,343,-,2,1072,1
21,Darchula,Kante,2339,467,-,245,2007,-
22,Darchula,Khalanga,3165,289,2,11,1654,100
23,Darchula,Khandeswori,3427,298,57,1438,1436,-
24,Darchula,Khar,2867,911,-,879,2448,11
25,Darchula,Kharkada,1904,825,-,28,1418,-
26,Darchula,Lali,2252,919,-,2,1839,1
27,Darchula,Latinath,3434,469,-,-,1709,-
28,Darchula,Malikarjun,2230,407,-,-,1207,2
29,Darchula,Pipalchauri,1426,324,-,460,1036,1
30,Darchula,Ranisikhar,1640,630,-,-,1361,8
31,Darchula,Rapla,1505,14,-,669,616,-
32,Darchula,Rithachaupata,3133,1398,1,1,2560,-
33,Darchula,Sankarpur,2308,560,3,-,1586,2
34,Darchula,Seri,2150,436,-,240,2524,2
35,Darchula,Sharmauli,2603,1294,3,-,2215,1
36,Darchula,Sikhar,1535,740,3,2,1422,-
37,Darchula,Sipti,3740,672,-,514,3228,2
38,Darchula,Sitaula,1930,663,-,948,1538,3
39,Darchula,Sunsera,2266,486,-,972,1309,-
40,Darchula,Tapoban,1245,480,-,6,850,-
41,Darchula,Uku,2338,850,-,3,1907,-
42,Total,-,94351,24329,105,11982,70441,255
