_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Dhankuta,Ahale,2697,66,-,8,5173,1256
2,Dhankuta,Ankhisalla,3503,476,-,13,6551,1566
3,Dhankuta,Arkhaule Jitpur,1908,655,-,-,3682,694
4,Dhankuta,Basantatar,1500,217,-,7,3487,584
5,Dhankuta,Belhara,3300,687,-,19,6423,669
6,Dhankuta,Bhirgaun,2468,760,-,3,4872,768
7,Dhankuta,Bodhe,2112,274,-,23,3912,1114
8,Dhankuta,Chha Nambar Budhabare,1123,42,-,39,1961,289
9,Dhankuta,Budi Morang,1822,32,-,-,3487,1118
10,Dhankuta,Chanuwa,2421,633,-,15,5532,440
11,Dhankuta,Chhintang,6340,929,-,18,10489,2867
12,Dhankuta,Chungwang,2563,505,-,196,4190,1062
13,Dhankuta,Danda Bazar,1082,198,-,-,3522,839
14,Dhankuta,Dandagaun,959,429,-,-,2252,300
15,Dhankuta,Dhankuta Municipality,4842,884,-,52,12346,4117
16,Dhankuta,Faksib,1415,46,-,-,2307,612
17,Dhankuta,Falate,2224,463,-,-,4699,449
18,Dhankuta,Ghorlikharka,1597,371,-,6,3332,462
19,Dhankuta,Hathikharka,2417,812,-,7,4954,1022
20,Dhankuta,Khoku,1520,266,-,57,4026,845
21,Dhankuta,Khuwaphok,1646,90,-,11,3748,1194
22,Dhankuta,Kurule Tenupa,2410,588,-,39,5455,882
23,Dhankuta,Leguwa,2371,803,-,22,5787,677
24,Dhankuta,Mahabharat,2522,48,-,8,4886,1192
25,Dhankuta,Marek Katahare,3120,1383,-,147,6098,576
26,Dhankuta,Maunabudhuk,1164,132,-,7,2838,746
27,Dhankuta,Mudhebas,1396,131,-,3,2909,833
28,Dhankuta,Muga,2544,455,-,3,4979,478
29,Dhankuta,Murtidhunga,2087,665,-,-,4380,354
30,Dhankuta,Pakhribas,1334,245,-,27,3100,797
31,Dhankuta,Parewadin,3143,645,-,51,5604,1178
32,Dhankuta,Raja Rani,958,49,-,73,2691,704
33,Dhankuta,Sanne,1678,475,-,5,3505,433
34,Dhankuta,Tankhuwa,2800,441,-,85,4610,1031
35,Dhankuta,Telia,2528,547,-,45,5535,1164
36,Dhankuta,Vedetar,1160,8,-,20,3156,893
37,Total,-,80674,15450,-,1009,166478,34205
