_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Dolakha,Alampu,928,138,-,36,725,7
2,Dolakha,Babare,1729,478,-,15,2720,46
3,Dolakha,Bhedapu,1024,1363,-,-,4825,87
4,Dolakha,Bhimeshwor Municipality,3816,3105,2,131,20496,411
5,Dolakha,Bhirkot,730,565,-,7,3028,29
6,Dolakha,Bhusafeda,934,405,-,-,2434,119
7,Dolakha,Bigu,863,233,387,12,960,9
8,Dolakha,Bocha,859,622,-,7,3272,21
9,Dolakha,Bulung,1163,262,-,123,2659,163
10,Dolakha,Chankhu,764,151,134,24,1069,6
11,Dolakha,Chhetrapa,671,641,3,17,3022,35
12,Dolakha,Chilankha,1804,445,282,123,2000,2
13,Dolakha,Chyama,553,903,-,11,2883,37
14,Dolakha,Dandakharka,1396,1381,3,33,5215,63
15,Dolakha,Tamchet Dudhpokhari,847,701,26,1,2885,134
16,Dolakha,Fasku,881,1452,-,47,6140,206
17,Dolakha,Gairimudi,1771,865,3,67,5854,118
18,Dolakha,Gauri Sankar,742,24,203,118,1273,2
19,Dolakha,Ghyang Sukathokar,1022,1455,-,40,5258,17
20,Dolakha,Hawa,692,418,-,-,1457,301
21,Dolakha,Japhe,1185,862,3,27,4640,72
22,Dolakha,Jhule,759,514,-,50,3217,16
23,Dolakha,Jhyaku,2424,1000,178,42,4681,11
24,Dolakha,Jiri,2128,1056,152,13,6519,387
25,Dolakha,Jungu,1481,886,-,53,4753,60
26,Dolakha,Kabhre,782,957,20,13,5637,65
27,Dolakha,Kalinchowk,1503,120,175,-,1649,-
28,Dolakha,Katakuti,817,1081,5,29,4086,11
29,Dolakha,Khare,1200,282,1,56,2081,-
30,Dolakha,Khopachagu,1268,282,-,13,1432,4
31,Dolakha,Laduk,1797,365,20,87,3804,131
32,Dolakha,Lakuridanda,808,1025,21,218,3361,87
33,Dolakha,Lamabagar,988,77,645,31,1903,6
34,Dolakha,Lamidanda,1076,890,-,30,4475,5
35,Dolakha,Lapilang,1424,901,19,61,3199,3
36,Dolakha,Magapauwa,626,870,-,19,3397,12
37,Dolakha,Mali,1649,675,220,25,3150,21
38,Dolakha,Malu,773,623,-,49,2765,35
39,Dolakha,Marbu,852,300,-,72,1336,19
40,Dolakha,Melung,1076,956,3,-,4770,38
41,Dolakha,Mirge,800,729,-,37,3519,237
42,Dolakha,Namdu,1435,1006,2,1,6328,77
43,Dolakha,Orang,1242,155,121,569,2023,61
44,Dolakha,Pawati,1166,1140,-,10,6326,57
45,Dolakha,Sahare,782,811,20,20,3411,74
46,Dolakha,Sailungeswor,691,1281,-,21,4712,44
47,Dolakha,Sunkhani,1210,870,-,52,6250,17
48,Dolakha,Sundrawati,701,498,-,-,2508,14
49,Dolakha,Suri,1320,685,65,196,2495,89
50,Dolakha,Suspa Kshyamawati,1015,595,50,16,2900,24
51,Dolakha,Syama,1369,606,803,140,1726,27
52,Dolakha,Thulopatal,1491,735,"",29,4116,267
53,Total,-,61027,38440,3566,2791,195344,3784
