_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Dolpa,Bhijer,152,-,416,121,1614,-
2,Dolpa,Dho,87,14,850,32,1262,60
3,Dolpa,Dunai,982,91,-,851,1098,13
4,Dolpa,Jufal,1124,109,-,332,1337,5
5,Dolpa,Kaigaun,581,4,29,380,529,5
6,Dolpa,Kalika,1072,168,-,949,923,-
7,Dolpa,Lawan,762,-,43,1116,1467,1
8,Dolpa,Lhna,712,28,-,332,906,-
9,Dolpa,Likhu,1406,87,65,932,535,130
10,Dolpa,Majhfal,1732,66,36,829,673,28
11,Dolpa,Mukot,328,-,1372,41,1339,-
12,Dolpa,Narku,1062,133,-,659,1136,3
13,Dolpa,Pahada,1066,101,46,1000,1517,15
14,Dolpa,Phoksundo,50,-,1181,91,285,6
15,Dolpa,Raha,466,3,87,500,1572,1
16,Dolpa,Rimi,1143,50,389,1177,761,93
17,Dolpa,Sahartara,847,32,97,567,163,56
18,Dolpa,Saldang,595,1,1324,3241,5438,43
19,Dolpa,Sarmi,1704,79,15,1228,1601,260
20,Dolpa,Sunhoo,934,25,3,632,1301,304
21,Dolpa,Tinje,428,2,753,1935,2092,239
22,Dolpa,Tripurakot,1502,52,39,458,738,138
23,Total,-,18856,1045,7517,18265,29850,1410
