_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Doti,Banja Kakani,1716,394,-,-,1617,17
2,Doti,Banlek,1613,472,-,-,1759,73
3,Doti,Barchhen,4822,148,-,121,8224,4
4,Doti,Basudevi,1719,180,-,-,1621,3
5,Doti,Bhumirajmadau,2279,232,-,-,1688,-
6,Doti,Chawara Chautara,1978,222,-,-,2965,21
7,Doti,Chhapali,1454,807,-,-,1792,5
8,Doti,Chhatiwan,2323,273,-,63,3163,128
9,Doti,Dahakalikasthan,941,269,-,-,809,2
10,Doti,Daud,2348,974,-,8,2488,5
11,Doti,Dhanglagau,2947,257,-,63,5244,16
12,Doti,Dhirkamandau,1001,196,-,76,1263,-
13,Doti,Dipayal Silgadhi Municipality,5823,962,-,99,7004,308
14,Doti,Durgamadau,1967,273,-,2,1487,28
15,Doti,Gadasera,2974,181,-,15,3707,2
16,Doti,Gaguda,1763,193,-,7,2193,4
17,Doti,Gaihragau,2071,83,-,-,1475,4
18,Doti,Ganjari,1278,193,-,-,1027,-
19,Doti,Ghanteswor,2249,332,-,47,2399,29
20,Doti,Girichauka,1836,745,-,11,2296,34
21,Doti,Jijodamandau,1248,183,-,-,926,20
22,Doti,Kadamadaun,2486,139,-,-,1944,-
23,Doti,Kalena,881,374,-,-,1049,-
24,Doti,Kalikasthan,2503,451,-,-,2364,8
25,Doti,Kanachaur,1862,213,-,-,2320,4
26,Doti,Kapalleki,1935,280,-,-,1445,3
27,Doti,Kedar Akhada,1345,149,-,-,1846,1
28,Doti,Khatiwada,2393,692,-,2,2695,3
29,Doti,Khirsain,1433,72,-,-,1110,2
30,Doti,Ladagada,1881,278,-,-,2505,-
31,Doti,Lamikhal,1980,539,-,-,2250,36
32,Doti,Lana Kedareswor,2592,272,-,35,3739,-
33,Doti,Latamandau,2328,429,-,-,1780,67
34,Doti,Laxmi Nagar,4754,369,-,33,4431,36
35,Doti,Mahadevsthan,1839,412,-,-,2100,5
36,Doti,Mannakapadi,3315,149,-,42,5451,10
37,Doti,Mudabhara,2432,476,-,504,1166,37
38,Doti,Mudhegau,1097,124,-,-,884,9
39,Doti,Nirauli,3115,168,-,72,3949,2
40,Doti,Pachanali,1065,271,-,5,1030,23
41,Doti,Pokhari,2264,424,-,899,1483,35
42,Doti,Ranagau,1333,197,-,-,1148,-
43,Doti,Sanagau,1160,83,-,-,1031,3
44,Doti,Saraswotinagar,3084,369,-,2,2945,-
45,Doti,Satphari,1605,288,-,2,1733,-
46,Doti,Simchaur,2417,142,-,81,3703,8
47,Doti,Tijali,1203,245,-,-,740,21
48,Doti,Tikhatar,2563,339,-,6,2550,15
49,Doti,Toleni,3234,1267,-,-,3221,5
50,Doti,Wagalek,1944,542,-,-,1971,-
51,Doti,Warpata,1567,636,-,-,2780,24
52,Total,-,109960,17958,-,2195,122510,1060
