_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Humla,Barai,803,55,2,608,672,-
2,Humla,Bargaun,284,-,476,101,296,-
3,Humla,Chhipra,678,-,-,244,488,-
4,Humla,Dandafaya,588,2,7,1084,1912,152
5,Humla,Darma,1221,352,86,373,963,-
6,Humla,Gothi,859,24,108,461,1037,-
7,Humla,Hepka,127,10,271,220,322,-
8,Humla,Jair,1613,209,-,782,2713,4
9,Humla,Kalika,2156,434,-,1754,3401,29
10,Humla,Khagalgaun,356,2,39,311,53,6
11,Humla,Kharpunath,831,26,-,1145,1488,220
12,Humla,Lali,933,35,208,1014,1301,-
13,Humla,Limi,73,-,596,-,577,2
14,Humla,Madana,1129,177,-,577,1285,6
15,Humla,Maila,2712,613,37,573,1276,182
16,Humla,Melchham,673,53,20,824,1620,3
17,Humla,Mimi,881,174,114,860,1226,5
18,Humla,Muchu,-,-,484,332,7,-
19,Humla,Raya,1096,3,3,3328,3313,-
20,Humla,Rodikot,744,11,-,2183,2222,28
21,Humla,Sarkeedeu,1404,61,34,1868,3566,7
22,Humla,Saya,812,35,"",109,759,2
23,Humla,Shree Nagar,2907,195,3,645,5959,34
24,Humla,Shreemastha,873,36,1,888,1458,2
25,Humla,Simikot,614,8,251,160,328,4
26,Humla,Syada,709,-,12,1168,2305,-
27,Humla,Thehe,667,-,6,883,2231,22
28,Total,-,25743,2515,2758,22495,42778,708
