_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Ilam,Amchok,2061,898,-,15,2996,701
2,Ilam,Bajho,4255,538,-,18,7846,761
3,Ilam,Barbote,2922,307,-,39,2585,718
4,Ilam,Chamaita,3669,821,1,209,1880,811
5,Ilam,Chisapani,2962,251,3,38,4295,672
6,Ilam,Chulachuli,5990,3301,23,7,9496,3595
7,Ilam,Danabari,6079,665,-,-,8175,2555
8,Ilam,Dhuseni,2150,455,-,-,3920,916
9,Ilam,Ebhang,2724,703,-,21,4288,768
10,Ilam,Ektappa,2452,798,-,21,3711,883
11,Ilam,Erautar,2896,193,-,1,3304,425
12,Ilam,Gajurmukhi,1708,256,-,37,3613,569
13,Ilam,Godak,2578,206,-,47,1931,715
14,Ilam,Gorkhe,2338,71,2,42,1738,428
15,Ilam,Ilam Municipality,3445,165,1,105,4999,1393
16,Ilam,Jamuna,1928,200,-,52,1888,315
17,Ilam,Jirmale,2930,421,4,31,2904,500
18,Ilam,Jitpur,4078,360,1,31,5880,1143
19,Ilam,Jogmai,2348,103,1,3,2002,307
20,Ilam,Kanyam,3879,331,10,82,3498,441
21,Ilam,Kolbung,2798,212,-,1,2842,718
22,Ilam,Laxmipur,5137,322,1,44,4189,1048
23,Ilam,Lumde,1261,213,-,12,2019,456
24,Ilam,Mabu,1812,170,45,49,1867,332
25,Ilam,Mahamai,5496,713,-,12,6305,2010
26,Ilam,Maimajhuwa,2002,223,25,174,2233,364
27,Ilam,Maipokhari,2134,146,-,12,931,597
28,Ilam,Mangalbare,3618,538,-,2,3553,878
29,Ilam,Namsaling,4035,286,1,150,3694,811
30,Ilam,Naya Bazar,2856,151,-,19,2438,247
31,Ilam,Panchakanya,4339,296,1,19,2020,1063
32,Ilam,Pasupati Nagar,3435,55,-,7,1648,678
33,Ilam,Phakphok,2095,924,-,14,2259,683
34,Ilam,Phikal Bazar,4227,176,1,56,2406,692
35,Ilam,Phuyatappa,1319,236,-,8,1695,418
36,Ilam,Puwamajhuwa,2086,124,2,22,1274,351
37,Ilam,Pyang,1560,236,-,22,1168,476
38,Ilam,Sakfara,1476,436,-,4,2908,439
39,Ilam,Sakhejung,2026,88,-,24,1464,511
40,Ilam,Samalbung,2737,236,2,26,2732,462
41,Ilam,Sangrumba,3107,587,-,10,2969,851
42,Ilam,Shanti Danda,2810,287,-,38,3177,421
43,Ilam,Shantipur,3508,278,-,21,4736,430
44,Ilam,Shree Antu,1663,65,-,1,1925,466
45,Ilam,Siddhithumka,2374,282,-,14,3506,556
46,Ilam,Soyak,2214,338,-,71,3478,692
47,Ilam,Soyang,3286,281,-,10,3342,640
48,Ilam,Sulubung,1835,221,-,14,1600,467
49,Ilam,Sumbek,1478,112,-,4,1190,229
50,Total,-,142116,19275,124,1659,156517,36602
