_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Jajarkot,Archhani,2724,492,-,716,3404,19
2,Jajarkot,Bhagawati Tol,2001,551,-,661,2134,9
3,Jajarkot,Bhoor,3637,912,-,543,3023,68
4,Jajarkot,Daha,3613,673,-,1161,2907,69
5,Jajarkot,Dandagaun,3571,1295,-,386,6272,78
6,Jajarkot,Dasera,3660,1420,-,142,5949,3
7,Jajarkot,Dhime,4805,1378,-,256,3864,98
8,Jajarkot,Garkhakot,3933,689,-,302,7106,61
9,Jajarkot,Jagatipur,3898,823,-,1033,2197,95
10,Jajarkot,Jhapra,2809,554,-,110,3736,78
11,Jajarkot,Junga Thapachaur,3005,1061,-,44,4177,-
12,Jajarkot,Karkigaun,3595,1246,-,480,4996,1
13,Jajarkot,Khagenkot,1835,806,-,169,4733,49
14,Jajarkot,Khalanga,4686,1572,-,880,6387,22
15,Jajarkot,Kortrang,2347,524,-,513,4096,-
16,Jajarkot,Lahai,2869,1433,-,638,5249,93
17,Jajarkot,Majhakot,4696,1094,-,252,6821,1
18,Jajarkot,Nayakwada,3350,1307,-,1246,2306,8
19,Jajarkot,Paink,3035,808,-,441,3459,5
20,Jajarkot,Pajaru,4957,1039,-,212,8781,2
21,Jajarkot,Punama,4758,1339,-,1083,4040,62
22,Jajarkot,Ragda,1859,765,-,297,3324,34
23,Jajarkot,Ramidanda,1759,255,-,301,906,-
24,Jajarkot,Rokayagaun,2014,651,-,653,1358,-
25,Jajarkot,Sakala,3420,1237,-,760,3500,-
26,Jajarkot,Salma,3938,1438,-,528,6022,31
27,Jajarkot,Sima,2673,991,-,14,3788,-
28,Jajarkot,Suwanauli,1526,582,-,20,2621,4
29,Jajarkot,Talegaun,2195,396,-,328,2944,-
30,Jajarkot,Thala Raikar,2876,808,-,26,2875,-
31,Total,-,96044,28139,-,14195,122975,890
