_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Jumla,Badki,3319,86,3,3807,2750,24
2,Jumla,Birat,1655,215,-,2447,1932,119
3,Jumla,Bumramadichaur,630,5,4,2706,1966,63
4,Jumla,Chandan Nath,3328,179,52,1863,748,103
5,Jumla,Chhumchaur,1755,52,30,2226,1290,-
6,Jumla,Depalgaun,1576,208,-,6,710,12
7,Jumla,Dhapa,2324,83,1,513,1109,4
8,Jumla,Dillichaur,3010,60,-,1946,1783,25
9,Jumla,Garjyangkot,3380,196,2,545,930,29
10,Jumla,Ghode Mahadev,1605,21,7,3112,1992,77
11,Jumla,Guthichaur,2266,36,294,4869,2591,15
12,Jumla,Hanku,1704,85,2,1595,429,-
13,Jumla,Kalikakhetu,1717,165,-,1826,1871,56
14,Jumla,Kanakasundari,1942,35,1,2517,1239,42
15,Jumla,Kartik Swami,1363,52,2,39,193,1
16,Jumla,Kudari,2993,96,1,4016,2526,11
17,Jumla,Lamra,1630,76,-,291,421,3
18,Jumla,Raralihi,1529,19,-,1356,684,15
19,Jumla,Mahabaipatharkhola,1722,185,2,689,1136,2
20,Jumla,Mahat,1498,66,-,240,426,2
21,Jumla,Malikabota,1237,2,1,2455,1748,29
22,Jumla,Malikathanta,2006,25,-,2714,2190,137
23,Jumla,Narakot,2292,22,-,2710,894,7
24,Jumla,Pandawagufa,2062,121,-,2174,361,-
25,Jumla,Patarasi,2405,21,59,4058,2284,62
26,Jumla,Patmara,1826,52,2,5783,2717,40
27,Jumla,Sanigaun,3622,20,3,6877,3072,84
28,Jumla,Talium,2440,96,2,3264,1237,-
29,Jumla,Tamti,3014,85,-,7511,4395,15
30,Jumla,Tatopani,2931,104,2,1332,1365,18
31,Total,-,64781,2468,470,75487,46989,995
