_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Kailali,Baliya,5593,2882,-,363,12635,570
2,Kailali,Basauti,1879,820,-,290,2044,798
3,Kailali,Beladevipur,4535,803,-,247,2634,571
4,Kailali,Bhajani,2636,928,-,1660,2717,217
5,Kailali,Boniya,2954,1127,-,780,4499,1055
6,Kailali,Chuha,5069,2201,-,361,5384,1060
7,Kailali,Chaumala,11035,2109,-,945,8983,1365
8,Kailali,Dhansinghapur,996,1683,-,420,2839,401
9,Kailali,Darakh,4054,1683,-,453,4466,1067
10,Kailali,Dhangadhi Municipality,15645,5565,-,820,12485,2229
11,Kailali,Dododhara,4071,1192,-,408,4447,565
12,Kailali,Durgauli,1964,1465,-,442,3448,1101
13,Kailali,Gadariya,3058,1160,-,1276,2381,369
14,Kailali,Geta,4271,1817,-,263,2546,691
15,Kailali,Godawari,8129,431,-,71,11918,205
16,Kailali,Hasuliya,4038,903,-,1201,2143,311
17,Kailali,Janakinagar,1184,535,-,394,1831,353
18,Kailali,Joshipur,3973,2105,-,1690,7529,1603
19,Kailali,Khailad,3385,987,-,715,3848,1270
20,Kailali,Khairala,3820,104,-,6,7909,101
21,Kailali,Kota Tulsipur,2639,903,-,629,2937,699
22,Kailali,Lalbojhi,1991,1543,-,239,3759,540
23,Kailali,Malakheti,7954,1377,-,52,3766,346
24,Kailali,Masuriya,7504,1469,-,155,7995,1584
25,Kailali,Mohanyal,3493,54,-,2068,2679,77
26,Kailali,Munuwa,1861,1268,-,1129,3225,783
27,Kailali,Narayanpur,1564,1715,-,658,4527,783
28,Kailali,Nigali,4523,301,-,88,6759,94
29,Kailali,Pahalmanpur,3970,1170,-,260,3893,1182
30,Kailali,Pandaun,3083,195,-,-,6854,14
31,Kailali,Pathariya,3228,2295,-,402,5635,700
32,Kailali,Pawera,1523,679,-,295,813,860
33,Kailali,Phulwari,6171,2969,-,205,7875,1019
34,Kailali,Pratapapur,2828,1371,-,464,3611,542
35,Kailali,Ramsikhar Jhala,7085,1488,-,226,5622,744
36,Kailali,Ratanpur,2410,993,-,322,1319,888
37,Kailali,Sadepani,6184,2341,-,307,6058,894
38,Kailali,Sahajpur,5744,530,-,-,12115,31
39,Kailali,Sreepur,6532,1135,-,203,3170,1193
40,Kailali,Sugarkhal,8258,1091,-,70,16176,186
41,Kailali,Thapapur,2643,1017,-,1364,4082,1396
42,Kailali,Tikapur Municipality,4025,4141,-,1518,12529,1552
43,Kailali,Udasipur,3376,862,-,318,2284,976
44,Kailali,Urma,5577,1291,-,564,3443,1236
45,Total,-,196455,62698,-,24341,237812,34221
