_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Kalikot,Badalkot,2271,639,-,403,2707,43
2,Kalikot,Chhapre,2495,434,-,574,1849,11
3,Kalikot,Chilkhaya,3318,374,-,3915,1469,22
4,Kalikot,Dahafatgaun,3649,504,-,848,3879,10
5,Kalikot,Dholagohe,2657,1253,13,301,1310,80
6,Kalikot,Gela,2096,340,3,39,1711,5
7,Kalikot,Jubitha,1317,189,3,29,921,5
8,Kalikot,Kheen,2066,755,-,1230,1945,29
9,Kalikot,Kotbada,1154,736,1,-,1548,-
10,Kalikot,Kumalgaun,885,834,7,261,1169,13
11,Kalikot,Lalu,1421,1530,1,-,2003,-
12,Kalikot,Malkot,880,1103,11,449,1911,5
13,Kalikot,Manma,2343,719,-,70,1830,14
14,Kalikot,Marta,3549,536,3,243,3235,45
15,Kalikot,Mehal Mudi,2094,844,-,868,1963,-
16,Kalikot,Mugraha,1366,244,1,13,1432,1
17,Kalikot,Mumrakot,1934,809,-,997,1578,7
18,Kalikot,Nanikot,3081,912,3,1766,3076,15
19,Kalikot,Odanaku,1592,171,30,237,460,52
20,Kalikot,Pakha,3296,336,1,374,2424,-
21,Kalikot,Phoi Mahadev,1988,185,2,192,686,59
22,Kalikot,Phukot,3360,581,6,482,2538,2
23,Kalikot,Raku,1587,877,35,376,1728,47
24,Kalikot,Ramanakot,2420,662,2,859,2118,1
25,Kalikot,Ranchuli,1602,247,-,1087,1476,5
26,Kalikot,Rupsa,1360,1281,17,1578,1519,70
27,Kalikot,Sipkhana,2693,772,1,691,1779,5
28,Kalikot,Siuna,2668,572,17,161,1552,52
29,Kalikot,Sukataya,2492,567,5,53,2200,-
30,Kalikot,Thirpu,2432,686,-,757,2333,3
31,Total,-,66066,19692,162,18853,56349,601
