_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Kanchanpur,Baisi Bichawa,4346,1362,-,289,5036,428
2,Kanchanpur,Beldandi,6892,2508,-,168,4678,684
3,Kanchanpur,Chandani,7116,3268,-,1620,4418,292
4,Kanchanpur,Daijee,13424,2676,-,145,5948,369
5,Kanchanpur,Dekhatbhuli,7225,2241,-,350,5148,995
6,Kanchanpur,Dodhara,5685,3094,-,27,8971,28
7,Kanchanpur,Jhalari,12015,2855,-,84,7748,724
8,Kanchanpur,Kalika,2962,2602,-,164,5381,690
9,Kanchanpur,Krishnapur,13351,3222,-,252,8132,1600
10,Kanchanpur,Laxmipur,2775,1978,-,540,3949,1020
11,Kanchanpur,Bhimdatta Municipality,30032,12781,-,69,13979,357
12,Kanchanpur,Parasan,3468,2492,-,247,6089,188
13,Kanchanpur,Pipaladi,8918,2379,-,214,4164,681
14,Kanchanpur,Raikawar Bichawa,6260,2173,-,277,4573,509
15,Kanchanpur,Rampur Bilasipur,5792,2694,-,712,4583,1545
16,Kanchanpur,Rauteli Bichawa,2215,588,-,352,1043,96
17,Kanchanpur,Sankarpur,1914,1280,-,288,2867,565
18,Kanchanpur,Sreepur,4950,3545,-,507,5472,1685
19,Kanchanpur,Suda,8279,2760,-,25,2747,403
20,Kanchanpur,Tribhuwanbasti,3503,2343,-,152,6751,97
21,Total,-,151122,58841,-,6482,111677,12956
