_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Kathmandu,Aalapot,372,113,-,3,634,3
2,Kathmandu,Baad Bhanjyang,230,108,-,14,1389,9
3,Kathmandu,Bajrayogini (Sankhu),271,261,-,4,2266,11
4,Kathmandu,Balambu,145,6,-,17,421,24
5,Kathmandu,Baluwa,440,262,-,13,1980,87
6,Kathmandu,Bhadrabas,345,45,-,-,334,-
7,Kathmandu,Bhimdhunga,293,47,-,-,1825,-
8,Kathmandu,Budanilkantha,283,92,-,34,1595,1
9,Kathmandu,Chalnakhel,216,18,-,2,1330,60
10,Kathmandu,Chapali Bhadrakali,155,95,-,7,818,14
11,Kathmandu,Chhaimale,759,469,-,-,2991,61
12,Kathmandu,Dahachok,347,85,-,140,1315,32
13,Kathmandu,Chunikhel,101,363,-,32,1346,2
14,Kathmandu,Daanchhi,722,56,-,49,746,40
15,Kathmandu,Daxinkali,295,64,-,174,992,61
16,Kathmandu,Dhapasi,106,6,-,12,41,-
17,Kathmandu,Dharmasthali,564,97,-,30,729,198
18,Kathmandu,Futung,215,32,-,6,645,152
19,Kathmandu,Gagalphedi,755,269,-,6,2098,22
20,Kathmandu,Gokarneswor,218,36,-,-,397,183
21,Kathmandu,Goldhunga,640,74,-,7,760,422
22,Kathmandu,Gonggabu,98,5,-,1,190,189
23,Kathmandu,Gothatar,779,14,-,17,261,112
24,Kathmandu,Ichang Narayan,128,1,-,20,961,29
25,Kathmandu,Indrayani,343,34,-,52,563,-
26,Kathmandu,Jhor Mahankal,544,339,-,2,2509,4
27,Kathmandu,Jitpurphedi,986,185,-,5,2321,14
28,Kathmandu,Jorpati,285,11,-,2,107,107
29,Kathmandu,Kabhresthali,679,161,-,10,1472,6
30,Kathmandu,Kapan,449,22,-,80,387,16
31,Kathmandu,Kathmandu Metropolitan City,1269,29,-,14,409,841
32,Kathmandu,Khadka Bhadrakali,217,10,-,96,297,250
33,Kathmandu,Kirtipur Municipality,969,26,-,57,1674,42
34,Kathmandu,Lapsiphedi,585,885,-,"",4607,22
35,Kathmandu,Machhegaun,87,15,-,113,568,37
36,Kathmandu,Mahadevathan,209,8,-,77,909,139
37,Kathmandu,Mahankal,208,8,-,3,159,420
38,Kathmandu,Manmaiju,221,28,-,23,180,49
39,Kathmandu,Matatirtha,187,22,-,20,802,12
40,Kathmandu,Mulpani,809,5,-,2,248,63
41,Kathmandu,Naglebhare,892,1039,-,"",3564,8
42,Kathmandu,Naikap Naya Bhanjyang,86,1,-,81,142,-
43,Kathmandu,Naikap Purano Bhanjyang,337,3,-,12,267,5
44,Kathmandu,Nayapati,458,126,-,5,1285,70
45,Kathmandu,Pukhulachhi,57,25,-,"",163,16
46,Kathmandu,Ramkot,607,108,-,12,2109,48
47,Kathmandu,Sangla,377,158,-,63,1785,69
48,Kathmandu,Setidevi,445,31,-,21,2161,34
49,Kathmandu,Satungal,9,2,-,94,206,5
50,Kathmandu,Seuchatar,450,17,-,5,435,-
51,Kathmandu,Sheshnarayan,194,8,-,12,719,101
52,Kathmandu,Sitapaila,135,8,-,-,367,6
53,Kathmandu,Sundarijal,132,322,-,-,2321,17
54,Kathmandu,Suntol,407,117,-,33,1444,9
55,Kathmandu,Talkududechour,382,221,-,35,2681,9
56,Kathmandu,Thankot,81,40,-,32,903,186
57,Kathmandu,Tinthana,135,-,-,11,125,202
58,Kathmandu,Tokha Chandeswori,155,156,-,22,1120,61
59,Kathmandu,Tokha Sarswoti,219,104,-,86,856,439
60,Total,-,22082,6892,-,1668,65929,5019
