_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Kavrepalanchok,Anekot,1491,1113,-,16,5953,46
2,Kavrepalanchok,Baldthali,517,385,-,-,2344,5
3,Kavrepalanchok,Balting,388,1087,-,-,2978,50
4,Kavrepalanchok,Baluwapati Deupur,1041,1415,-,42,4967,24
5,Kavrepalanchok,Banakhu Chor,1512,1383,-,22,4811,198
6,Kavrepalanchok,Banepa Municipality,614,93,-,33,980,61
7,Kavrepalanchok,Bekhsimle Ghartigaun,308,367,-,-,1472,10
8,Kavrepalanchok,Bhimkhori,1057,2387,-,18,5781,278
9,Kavrepalanchok,Bhumlutar,319,254,-,15,2078,172
10,Kavrepalanchok,Birtadeurali,882,674,-,-,3245,31
11,Kavrepalanchok,Bolde Fediche,293,486,-,-,1914,1
12,Kavrepalanchok,Budhakhani,536,1440,-,14,3567,119
13,Kavrepalanchok,Chalal Ganeshsthan,421,953,-,-,3737,41
14,Kavrepalanchok,Chandeni Mandan,902,595,-,9,2869,29
15,Kavrepalanchok,Choubas,481,666,-,-,2594,10
16,Kavrepalanchok,Chyamrangbesi,277,773,-,22,1196,12
17,Kavrepalanchok,Chyasing Kharka,345,611,-,8,2955,12
18,Kavrepalanchok,Dandagaun,1002,1000,-,353,3043,121
19,Kavrepalanchok,Dapcha Chatrebhanjh,288,438,-,-,2244,30
20,Kavrepalanchok,Daraune Pokhari,541,597,-,171,2296,46
21,Kavrepalanchok,Dewabhumi Baluwa,1346,1136,-,-,5580,137
22,Kavrepalanchok,Devitar,495,519,-,-,3320,15
23,Kavrepalanchok,Dhulikhel Municipality,969,357,-,134,3473,242
24,Kavrepalanchok,Dhunkharka,974,1667,-,-,2813,90
25,Kavrepalanchok,Dhuseni Siwalaya,352,418,-,61,1665,30
26,Kavrepalanchok,Dolalghat,497,145,-,18,2295,209
27,Kavrepalanchok,Falate Bhumlu,380,286,-,-,1705,68
28,Kavrepalanchok,Falemetar,847,2065,-,-,4080,7
29,Kavrepalanchok,Foksingtar,954,785,-,-,2684,146
30,Kavrepalanchok,Gairi Bisouna Deupur,1141,1336,-,9,4322,96
31,Kavrepalanchok,Ghartichhap,1302,553,-,-,2596,323
32,Kavrepalanchok,Gokule,1978,1104,-,-,4698,207
33,Kavrepalanchok,Gothpani,681,608,-,11,3500,79
34,Kavrepalanchok,Hokse Bazar,1071,670,-,7,4506,73
35,Kavrepalanchok,Jaisithok Mandan,663,605,-,-,2970,56
36,Kavrepalanchok,Jyamdi Mandan,1442,929,-,3,5307,98
37,Kavrepalanchok,Kalati Bhumidanda,534,751,-,28,2949,38
38,Kavrepalanchok,Kanpur Kalapani,749,1213,-,4,4416,39
39,Kavrepalanchok,Katike Deurali,520,682,-,212,3046,133
40,Kavrepalanchok,Katunje Besi,350,643,-,-,2177,34
41,Kavrepalanchok,Kavre Nitya Chandeswor,1273,628,-,-,3104,31
