_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Khotang,Ainselukharka,1017,1033,-,65,1637,142
2,Khotang,Arkhaule,1961,890,-,-,3191,671
3,Khotang,Badahare,829,425,-,1,1823,178
4,Khotang,Badaka Diyale,1077,628,-,12,2363,258
5,Khotang,Bahunidanda,1589,510,-,41,4394,221
6,Khotang,Bakachol,1299,1194,-,102,990,320
7,Khotang,Baksila,1509,1136,-,135,1292,517
8,Khotang,Bamrang,1219,758,-,42,1883,499
9,Khotang,Barahapokhari,1797,871,-,-,5446,528
10,Khotang,Baspani,732,399,2,62,750,303
11,Khotang,Batase,2170,796,-,72,4518,745
12,Khotang,Bijaya Kharka,954,810,-,15,1903,275
13,Khotang,Buipa,1994,1125,-,271,3240,915
14,Khotang,Chhitapokhari,687,734,-,11,1590,333
15,Khotang,Chhorambu,1002,509,-,-,2284,437
16,Khotang,Chipring,562,324,-,29,1046,269
17,Khotang,Chisapani,1362,550,-,4,2122,288
18,Khotang,Chyandada,933,849,1,202,1059,272
19,Khotang,Chyasmitar,1508,633,-,173,3180,660
20,Khotang,Damarkhushivalaya,1428,716,-,54,1903,286
21,Khotang,Dandagaun,1183,702,-,68,2737,222
22,Khotang,Devisthan,1250,435,-,3,1901,339
23,Khotang,Dhitung,1671,822,-,125,3033,439
24,Khotang,Diktel,1717,1527,3,67,3564,662
25,Khotang,Dikuwa,1707,517,-,40,4270,382
26,Khotang,Diplung,769,575,-,7,1393,430
27,Khotang,Dorpachiuridada,2543,1558,-,292,2976,708
28,Khotang,Dubekoldada,874,500,-,-,1109,180
29,Khotang,Dumre Dharapani,1518,721,-,6,2215,170
30,Khotang,Durchhim,2018,854,-,-,5077,809
31,Khotang,Faktang,1533,497,-,25,3562,364
32,Khotang,Haunchur,1112,723,-,143,1544,181
33,Khotang,Indranipokhari,1363,530,-,1,2166,441
34,Khotang,Jalapa,1007,640,-,226,605,451
35,Khotang,Jyamire,971,387,-,3,587,158
36,Khotang,Kahule,843,378,-,2,1316,267
37,Khotang,Khalle,1244,784,-,-,2622,250
38,Khotang,Kharmi,1594,947,-,271,1295,419
39,Khotang,Kharpa,1325,505,-,4,1456,328
40,Khotang,Khartanchha,762,275,-,54,436,435
41,Khotang,Khidima,640,422,-,12,843,330
42,Khotang,Khotangbazar,899,399,-,7,2160,182
43,Khotang,Kuvinde,866,561,-,28,928,259
44,Khotang,Lafyang,1116,549,-,18,1647,460
45,Khotang,Lamidada,1566,747,-,-,2335,478
46,Khotang,Lichkiramche,1629,756,2,-,3502,441
47,Khotang,Linkuwapokhari,1074,692,-,-,1737,294
48,Khotang,Magpa,1070,624,1,42,887,280
49,Khotang,Mahadevasthan,1277,630,1,-,2535,606
50,Khotang,Mangaltar,1033,611,-,-,1898,318
51,Khotang,Mattim Birta,1445,941,-,-,2816,531
52,Khotang,Mauwabote,589,451,2,91,628,206
53,Khotang,Nerpa,1165,868,1,250,912,391
54,Khotang,Nirmalidada,741,589,-,68,907,228
55,Khotang,Nunthala,526,553,-,2,420,308
56,Khotang,Patheka,1578,621,-,108,794,665
57,Khotang,Pauwasera,1237,530,-,22,3047,417
58,Khotang,Phedi,1716,738,-,139,1324,648
59,Khotang,R.Maheswori,1421,765,-,34,922,405
60,Khotang,Rajapani,2380,924,-,-,4292,359
61,Khotang,Rakha Bangdel,1326,943,48,125,970,416
62,Khotang,Rakha Dipsung,528,313,-,56,369,117
63,Khotang,Ratanchha,1197,466,-,10,1370,590
64,Khotang,Jaleswori,1159,680,-,25,798,145
65,Khotang,Sa.Chhitapokhari,1290,893,-,51,3275,236
66,Khotang,Salle,890,588,-,2,1293,394
67,Khotang,Sapteswor,936,514,-,96,821,369
68,Khotang,Saunechaur,1557,614,-,19,2217,276
69,Khotang,Sawakatahare,952,628,-,27,1837,376
70,Khotang,Simpani,1343,778,-,1,3265,275
71,Khotang,Sungdel,1382,814,136,391,186,527
72,Khotang,Suntale,1439,470,-,3,2394,309
73,Khotang,Temma,1487,1002,-,27,2157,826
74,Khotang,Woplukha,851,966,-,52,1284,471
75,Khotang,Wopung,1512,876,-,2,2757,399
76,Khotang,Yamkha,1306,701,-,-,3036,315
77,Total,-,95756,52984,197,4336,153041,29599
