_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Lalitpur,Ashrang,510,561,-,-,1418,6
2,Lalitpur,Badikhel,297,58,-,-,728,-
3,Lalitpur,Bhardev,161,414,-,-,2209,90
4,Lalitpur,Bhattedanda,291,975,-,12,2173,-
5,Lalitpur,Bisankhunarayan,492,108,-,3,2150,8
6,Lalitpur,Bukhel,232,1104,-,-,1213,-
7,Lalitpur,Bungamati,304,14,-,32,683,84
8,Lalitpur,Chandanpur,245,569,-,-,824,-
9,Lalitpur,Chapagaun,438,194,-,73,1992,85
10,Lalitpur,Chhampi,505,177,-,95,2201,58
11,Lalitpur,Choughare,97,607,-,-,1875,25
12,Lalitpur,Dalchoki,144,632,-,-,1069,2
13,Lalitpur,Devichour,444,550,-,836,1352,59
14,Lalitpur,Dhapakhel,392,22,-,65,587,31
15,Lalitpur,Dhusel,158,586,-,27,1034,-
16,Lalitpur,Dukuchhap,372,195,-,-,1908,10
17,Lalitpur,Gimdi,942,846,-,13,3113,44
18,Lalitpur,Godamchaur,467,-,-,1,761,6
19,Lalitpur,Godawari,364,19,-,3,1117,36
20,Lalitpur,Gotikhel,127,634,-,11,700,-
21,Lalitpur,Harisiddhi,57,46,-,4,189,100
22,Lalitpur,Ikudol,337,803,-,-,1618,-
23,Lalitpur,Imadol,444,6,-,-,59,12
24,Lalitpur,Jharuwarasi,423,63,-,61,754,80
25,Lalitpur,Kaleswor,297,744,-,-,1007,6
26,Lalitpur,Khokana,32,4,-,86,421,56
27,Lalitpur,Lalitpur Sub-metropolitan city,473,73,-,37,284,430
28,Lalitpur,Lamatar,789,185,-,12,2260,67
29,Lalitpur,Lele,874,462,"",6,4627,51
30,Lalitpur,Lubhu,289,4,-,34,535,18
31,Lalitpur,Malta,529,612,-,153,2181,-
32,Lalitpur,Manikhel,134,786,-,-,1356,25
33,Lalitpur,Nallu,291,414,-,2,2050,18
34,Lalitpur,Pyutar,717,707,-,12,2227,10
35,Lalitpur,Sainbu,275,59,-,98,413,58
36,Lalitpur,Sankhu,295,1237,-,-,1568,3
37,Lalitpur,Siddhipur,17,-,-,-,68,6
38,Lalitpur,Sunakothi,157,1,-,46,194,37
39,Lalitpur,Thaiba,72,4,-,6,207,151
40,Lalitpur,Thecho,142,7,-,19,565,123
41,Lalitpur,Thuladurlung,668,522,-,-,2614,9
42,Lalitpur,Tikathali,260,21,-,69,221,62
43,Total,-,14554,15025,-,1816,54525,1866
