_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Mahottari,Anakar,618,529,-,2,1076,7
2,Mahottari,Aurahi,1312,511,-,9,2273,54
3,Mahottari,Bagada,952,505,-,41,947,47
4,Mahottari,Badiya Banchauri,826,457,-,-,1683,37
5,Mahottari,Bairgiya Laxminiya,244,185,-,33,603,28
6,Mahottari,Balawa,974,682,-,-,2472,3
7,Mahottari,Banauli Donauli,723,155,-,-,952,-
8,Mahottari,Banouta,950,526,-,221,1804,40
9,Mahottari,Bardibas,1372,783,-,32,3737,173
10,Mahottari,Basabitti,596,445,-,2,1314,3
11,Mahottari,Bathanaha,702,427,-,-,975,60
12,Mahottari,Belgachhi,1221,718,-,2,2904,59
13,Mahottari,Bharatpur,1311,738,-,3,2474,27
14,Mahottari,Bhatauliya,427,351,-,4,1158,6
15,Mahottari,Bijayalpura,1384,873,-,50,2338,17
16,Mahottari,Bramarpura,1137,650,-,3,2566,6
17,Mahottari,Damhimarayee,1064,492,-,268,1088,61
18,Mahottari,Dhamaura,1583,570,-,-,2678,21
19,Mahottari,Dharmapur,874,233,-,107,1308,34
20,Mahottari,Dhirapur,1101,647,-,-,2354,5
21,Mahottari,Ekadarabela,860,475,-,10,1774,46
22,Mahottari,Ekarahiya,914,396,-,4,1173,2
23,Mahottari,Etaharwakatti,734,474,-,-,1057,21
24,Mahottari,Fulahatta Parikauli,634,321,-,-,1342,-
25,Mahottari,Fulakaha,911,503,-,-,1504,10
26,Mahottari,Gaidha Bhetpur,717,407,-,5,1351,-
27,Mahottari,Gauribas,1737,748,-,-,4458,247
28,Mahottari,Gaushala,1456,1165,-,12,3657,137
29,Mahottari,Gonarpura,876,385,-,6,1710,33
30,Mahottari,Halkhori,540,461,-,-,925,-
31,Mahottari,Hariharpur Harinamari,1463,633,-,17,1857,51
32,Mahottari,Hathilet,1000,637,-,-,3042,81
33,Mahottari,Hatisarwa,1738,470,-,-,2330,5
34,Mahottari,Jaleshwor Municipality,1562,580,-,10,2437,39
35,Mahottari,Khairbanni,1475,984,-,33,3160,28
36,Mahottari,Khayar Mara,2949,1328,-,16,7671,118
37,Mahottari,Khopi,1075,640,-,-,1655,21
38,Mahottari,Khuttapiparadhi,1529,1023,-,-,3476,79
39,Mahottari,Kisan Nagar,1390,1347,-,2,2734,18
40,Mahottari,Kolhuwa Bagaicha,717,403,-,4,1372,11
41,Mahottari,Laximiniya,2056,1350,-,27,4542,110
42,Mahottari,Loharpatti,828,246,-,-,1040,24
43,Mahottari,Mahadaiyatapanpur,847,398,-,1,1346,3
44,Mahottari,Mahottari,1282,726,-,-,2438,-
45,Mahottari,Maisthan,2852,1384,-,4,6346,123
46,Mahottari,Majhora Bishnupur,657,509,-,125,1875,30
47,Mahottari,Manara,656,369,-,11,1173,29
48,Mahottari,Matihani,689,185,-,15,925,32
49,Mahottari,Meghanath Gorahanna,1178,257,-,31,1690,37
50,Mahottari,Nainhi,753,520,-,81,1026,27
51,Mahottari,Nigaul,805,525,-,-,1771,10
52,Mahottari,Paraul,860,430,-,-,1620,-
53,Mahottari,Parsa Dewadh,866,382,-,-,1300,6
54,Mahottari,Parsa Pateli,634,391,-,8,579,11
55,Mahottari,Pasupatinagar,742,817,-,5,679,10
56,Mahottari,Pigouna,457,175,-,-,807,4
57,Mahottari,Pipra,865,415,-,-,1650,-
58,Mahottari,Pokharibhinda Samgrampur,629,543,-,-,1159,2
59,Mahottari,Raghunathpur,967,729,-,-,2142,-
60,Mahottari,Ramgopalpur,1502,899,-,2,2860,40
61,Mahottari,Ramnagar,1286,761,-,4,2631,115
62,Mahottari,Ratauli,798,511,-,20,1177,5
63,Mahottari,Sahasaula,910,591,-,6,2091,15
64,Mahottari,Sahorawa,622,506,-,-,1477,-
65,Mahottari,Sandha,445,445,-,1,1563,5
66,Mahottari,Sarpallo,1162,667,-,46,3285,13
67,Mahottari,Shamsi,530,359,-,41,894,37
68,Mahottari,Shreepur,2095,799,-,1,2731,9
69,Mahottari,Simardahi,488,263,-,23,1146,17
70,Mahottari,Singyahi,1258,686,-,34,2248,42
71,Mahottari,Sisawakataiya,756,659,-,124,1905,40
72,Mahottari,Sonama,1387,731,-,10,2469,70
73,Mahottari,Sonamai,1505,689,-,3,2715,25
74,Mahottari,Sonaul,509,377,-,135,844,65
75,Mahottari,Suga Vawani,618,152,-,3,812,-
76,Mahottari,Sundarpur,2164,1416,-,3,4287,9
77,Mahottari,Vagaha,2603,1135,-,267,3418,127
78,Total,-,82909,45854,-,1927,158050,2727
