_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Makwanpur,Agara,1506,1467,-,-,10583,10
2,Makwanpur,Ambhanjyang,3345,1178,-,474,6384,77
3,Makwanpur,Bajrabarahi,1561,748,-,8,7291,102
4,Makwanpur,Basamadi,3788,952,-,-,12596,168
5,Makwanpur,Betini,1840,426,-,-,4175,234
6,Makwanpur,Bhaise,2403,585,-,26,9805,100
7,Makwanpur,Bharta Pundyadevi,1634,514,-,-,5296,94
8,Makwanpur,Bhimfedi,1519,432,-,-,6012,153
9,Makwanpur,Budhichaur,597,293,-,-,3239,-
10,Makwanpur,Chitlang,1261,430,-,-,5788,43
11,Makwanpur,Churiyamai,2349,612,-,-,9147,81
12,Makwanpur,Daman,1065,861,-,34,8285,130
13,Makwanpur,Dandakharka,1268,862,-,-,5030,65
14,Makwanpur,Dhiyal,3981,663,-,-,9623,104
15,Makwanpur,Fakhel,1072,408,-,3,5441,6
16,Makwanpur,Faparbari,8047,3139,-,12,14586,1567
17,Makwanpur,Gogane,1562,1104,-,-,6743,59
18,Makwanpur,Handikhola,8148,1846,-,47,15401,203
19,Makwanpur,Hatiya,3825,1688,-,7,7948,187
20,Makwanpur,Hetauda Municipality,4924,1804,-,116,8706,490
21,Makwanpur,Hurnamadi,1848,995,-,16,4335,106
22,Makwanpur,Ipa Panchakanya,1237,452,-,-,4508,4
23,Makwanpur,Kalikatar,1958,873,-,35,5103,66
24,Makwanpur,Kankada,3700,592,-,1,12029,538
25,Makwanpur,Khairang,1746,650,-,-,4923,15
26,Makwanpur,Kogate,699,143,-,-,2513,150
27,Makwanpur,Kulekhani,947,300,-,-,3694,40
28,Makwanpur,Makwanpurgadhi,5224,1532,-,-,13701,178
29,Makwanpur,Manahari,3904,2030,-,877,10895,475
30,Makwanpur,Manthali,1289,487,-,9,3121,14
31,Makwanpur,Markhu,740,124,-,3,3685,6
32,Makwanpur,Namtar,2955,1963,-,-,11920,93
33,Makwanpur,Nibuwatar,1472,224,-,-,4766,59
34,Makwanpur,Padam Pokhari,3482,1082,-,348,9444,536
35,Makwanpur,Palung,688,518,-,-,6531,60
36,Makwanpur,Raigaun,5293,2096,-,3,9742,1032
37,Makwanpur,Raksirang,2577,909,-,-,9575,215
38,Makwanpur,Sarikhet Palase,3581,551,-,4,10635,78
39,Makwanpur,Shikharpur,2679,438,-,2,6018,71
40,Makwanpur,Shreepur Chhatiwan,10039,2708,-,-,20731,677
41,Makwanpur,Sisneri Mahadevsthan,861,580,-,-,3748,38
42,Makwanpur,Sukaura,1398,565,-,-,5131,1
43,Makwanpur,Thingan,1941,651,-,-,6215,2
44,Makwanpur,Tistung Deurali,1138,1153,-,14,9296,117
45,Total,-,117091,41628,-,2039,344338,8444
