_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Morang,Amahibariyati,2184,369,-,-,2961,27
2,Morang,Amardaha,4371,1570,-,4,5238,633
3,Morang,Amgachhi,1999,369,-,-,2563,26
4,Morang,Babiya Birta,6085,1846,-,14,7019,1554
5,Morang,Bahuni,5266,1171,-,7,7322,961
6,Morang,Baijanathpur,1808,124,-,2,1730,266
7,Morang,Banigama,4192,322,-,37,4184,1165
8,Morang,Baradanga,4801,932,-,29,4002,151
9,Morang,Bayarban,6524,1876,-,199,10074,2941
10,Morang,Belbari,5479,877,-,24,8824,3896
11,Morang,Bhaudaha,2798,168,-,3,2652,474
12,Morang,Bhogateni,2946,87,-,14,7582,1333
13,Morang,Biratnagar Sub-Metropolitan City,14628,2084,-,147,11971,767
14,Morang,Budhanagar,4929,1055,-,34,3537,94
15,Morang,Dadarbairiya,3336,263,-,11,2983,308
16,Morang,Dainiya,4224,817,-,7,4417,109
17,Morang,Dangihat,5903,1142,-,70,8747,2988
18,Morang,Dangraha,2662,250,-,-,2839,755
19,Morang,Drabesh,5644,2646,-,15,7773,809
20,Morang,Dulari,3094,916,-,9,3898,1100
21,Morang,Govindapur,6118,2531,-,84,7766,653
22,Morang,Haraicha,2580,444,-,-,3113,538
23,Morang,Hasandaha,4136,1332,-,-,5991,829
24,Morang,Hathimudha,3531,283,-,3,3075,665
25,Morang,Hoklabari,1785,1035,-,3,3111,309
26,Morang,Indrapur,3774,706,-,11,5869,1320
27,Morang,Itahara,5239,2523,-,25,9349,994
28,Morang,Jante,3465,550,-,39,7597,1880
29,Morang,Jhorahat,2259,134,-,-,2387,528
30,Morang,Jhurkiya,4441,695,-,15,4265,62
31,Morang,Kaseni,4108,589,-,22,3759,791
32,Morang,Katahari,4374,615,-,22,4183,258
33,Morang,Kadmaha,2214,519,-,2,2997,46
34,Morang,Kerabari,6316,1330,-,102,12083,3625
35,Morang,Keroun,4143,1234,-,4,6568,1335
36,Morang,Lakhantari,2375,63,-,-,1810,635
37,Morang,Letang,4552,1300,-,100,7518,3456
38,Morang,Madhumalla,6799,1345,-,58,7977,2835
39,Morang,Mahadewa,2767,253,-,-,2568,20
40,Morang,Majhare,3064,694,-,44,4010,367
41,Morang,Matigachha,4674,960,-,6,5126,292
42,Morang,Motipur,3363,90,-,4,3256,1228
43,Morang,Mrigauliya,4752,889,-,35,6365,1246
44,Morang,Necha,748,164,-,6,1507,45
45,Morang,Pathari,3117,731,-,-,5160,3761
46,Morang,Patigaun,1410,187,-,60,3068,538
47,Morang,Pokhariya,1040,217,-,-,-,42
48,Morang,Rajghat,4342,1891,-,335,6016,2005
49,Morang,Ramite Khola,2212,30,-,-,4177,609
50,Morang,Rangeli,4182,761,-,10,3575,71
51,Morang,Sanischare,6088,989,-,6,8452,3821
52,Morang,Sidharaha,2484,43,-,-,2484,516
53,Morang,Sijuwa,4114,1941,-,311,5984,1104
54,Morang,Sinhadevi Sombare,1349,319,-,22,2996,627
55,Morang,Sisabanibadahara,3013,50,-,8,2895,980
56,Morang,Sisawanijahada,2557,448,-,-,2774,147
57,Morang,Sorabhag,3707,673,-,94,4208,159
58,Morang,Sundarpur,3787,1021,-,30,5426,2050
59,Morang,Takuwa,2770,613,-,11,3209,58
60,Morang,Tandi,3626,363,-,-,6730,1943
61,Morang,Tankisinuwari,4146,599,-,-,4193,571
62,Morang,Tetariya,3607,159,-,10,3190,756
63,Morang,Thalaha,3470,651,-,4,3864,695
64,Morang,Urlabari,5373,935,-,24,8226,3142
65,Morang,Warangi,1886,9,-,114,3316,633
66,Morang,Yangshila,3572,240,-,-,7291,2173
67,Total,-,256302,52032,-,2250,329800,70715
