_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Mugu,Bhiyee,905,100,-,126,1821,14
2,Mugu,Dhainakot,1386,277,5,261,1182,15
3,Mugu,Dolphu,372,-,65,-,71,1
4,Mugu,Gumtha,2007,498,12,506,1657,13
5,Mugu,Hyanglu,1941,196,4,875,1329,1
6,Mugu,Jima,1568,311,2,73,2259,11
7,Mugu,Karkibada,1614,346,3,780,1748,15
8,Mugu,Kimri,583,-,217,36,18,-
9,Mugu,Kot Danda,1706,285,-,478,1117,-
10,Mugu,Mangri,1947,55,445,2381,2453,-
11,Mugu,Mugu,96,36,509,40,2,-
12,Mugu,Natharpu,909,136,1,382,1355,49
13,Mugu,Photu,765,99,-,37,948,15
14,Mugu,Pina,2225,294,3,4498,2563,62
15,Mugu,Pulu,775,1,614,296,485,8
16,Mugu,Rara,951,123,6,523,1016,18
17,Mugu,Kalai,739,197,-,448,1148,2
18,Mugu,Rowa,2417,275,7,2292,3084,11
19,Mugu,Ruga,2697,265,3,2315,6221,12
20,Mugu,Khamale,1325,194,3,1517,2206,-
21,Mugu,Seri,1715,200,-,1123,1672,10
22,Mugu,Shreekot,2762,502,7,1565,1846,148
23,Mugu,Shreenagar,1538,271,240,214,1302,69
24,Mugu,Sukadhik,2224,439,4,1186,2297,-
25,Total,-,35167,5100,2150,21952,39800,474
