_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Nuwakot,Bageswori,1163,1328,-,28,3783,26
2,Nuwakot,Balkumari,738,782,-,-,1658,8
3,Nuwakot,Barsunchet,145,174,-,-,503,-
4,Nuwakot,Belkot,1695,2446,-,-,7378,17
5,Nuwakot,Betini,1896,1080,-,31,2730,11
6,Nuwakot,Bhadrutar,941,1187,-,-,4477,4
7,Nuwakot,Bhalche,1083,983,-,343,3107,31
8,Nuwakot,Bidur Municipality,2815,2241,-,58,8320,384
9,Nuwakot,Budhasing,1234,984,-,-,3506,50
10,Nuwakot,Bungtang,517,792,-,-,1792,14
11,Nuwakot,Charghare,1416,1568,3,2,4739,17
12,Nuwakot,Chaturale,768,974,-,-,3211,19
13,Nuwakot,Chaughada,1711,906,-,251,2337,31
14,Nuwakot,Chauthe,943,895,-,2,3743,14
15,Nuwakot,Chhap,493,609,-,-,1374,1
16,Nuwakot,Dangsing,857,1218,-,-,2589,25
17,Nuwakot,Deurali,863,1363,-,20,3028,36
18,Nuwakot,Duipipal,2639,2230,2,135,9334,195
19,Nuwakot,Fikuri,555,819,-,48,2422,7
20,Nuwakot,Ganeshthan,869,760,-,-,3348,33
21,Nuwakot,Gaunkharka,1450,810,23,200,2017,7
22,Nuwakot,Gerkhu,1351,1805,-,-,4625,70
23,Nuwakot,Ghyangphedi,1462,993,-,358,1531,-
24,Nuwakot,Gorsyang,1442,1355,-,-,2979,6
25,Nuwakot,Jiling,1466,2097,-,-,6651,9
26,Nuwakot,Kabilas,1296,1089,-,-,3999,7
27,Nuwakot,Kakani,569,1313,-,-,5811,116
28,Nuwakot,Halde Kalika,880,834,-,-,2752,16
29,Nuwakot,Kalyanpur,1269,1763,-,337,4444,117
30,Nuwakot,Kaule,467,845,-,-,2844,2
31,Nuwakot,Khadag Bhanjyang,1743,1924,-,9,5601,55
32,Nuwakot,Kharanitar,329,348,-,-,743,3
33,Nuwakot,Khanigaun,1015,1447,3,8,2880,92
34,Nuwakot,Kimtang,606,664,-,7,485,""
35,Nuwakot,Kumari,2193,2121,-,2,8535,17
36,Nuwakot,Lachyang,1040,1274,-,2,2925,6
37,Nuwakot,Likhu,529,816,-,25,2166,2
38,Nuwakot,Madanpur,1705,2204,-,9,7348,135
39,Nuwakot,Mahakali,1234,1321,-,4,4246,15
40,Nuwakot,Manakamana,467,937,1,26,2294,4
41,Nuwakot,Narjamandap,1362,1236,-,-,3855,8
42,Nuwakot,Okharpauwa,890,1423,3,73,6352,104
43,Nuwakot,Panchakanya,697,997,-,-,2893,28
44,Nuwakot,Ralukadevi,1313,1320,-,8,3274,4
45,Nuwakot,Ratmate,1249,842,-,-,3461,19
46,Nuwakot,Rautbesi,1074,790,-,34,2399,11
47,Nuwakot,Salme,995,968,-,667,1838,11
48,Nuwakot,Samari,1107,2029,1,4,3844,69
49,Nuwakot,Samundradevi,641,922,-,-,2596,1
50,Nuwakot,Samundratar,526,555,1,3,1190,16
51,Nuwakot,Shikharbesi,795,1181,-,-,1306,5
52,Nuwakot,Sikre,369,518,2,-,1771,3
53,Nuwakot,Sundaradevi,790,648,-,-,2026,1
54,Nuwakot,Sunkhani,486,902,-,5,2083,7
55,Nuwakot,Suryamati,1072,555,-,242,2501,130
56,Nuwakot,Talakhu,749,918,-,226,2121,29
57,Nuwakot,Taruka,2000,1630,2,31,5536,119
58,Nuwakot,Thanapati,589,987,-,165,2258,20
59,Nuwakot,Thansing,1680,1751,-,14,4868,22
60,Nuwakot,Thaprek,721,1578,2,587,3487,78
61,Nuwakot,Tupche,1220,1297,-,74,3620,45
62,Nuwakot,Urleni,1226,1168,76,156,1968,-
63,Total,-,67405,73514,119,4194,213502,2332
