_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Okhaldhunga,Andheri Narayansthan,1196,932,-,21,1240,429
2,Okhaldhunga,Baksa,1444,753,-,65,2736,213
3,Okhaldhunga,Balakhu,1837,1176,-,1,4790,507
4,Okhaldhunga,Barnalu,933,1036,-,41,722,397
5,Okhaldhunga,Baruneshwor,748,887,1,36,1567,361
6,Okhaldhunga,Betini,900,742,-,29,1672,60
7,Okhaldhunga,Bhadaure,1727,740,-,-,1962,466
8,Okhaldhunga,Bhussinga,944,283,24,249,941,44
9,Okhaldhunga,Bigutar,538,937,1,13,847,242
10,Okhaldhunga,Bilandu,909,1225,5,9,1856,77
11,Okhaldhunga,Chyanam,1068,1168,-,56,2580,104
12,Okhaldhunga,Diyale,1488,842,-,-,1958,330
13,Okhaldhunga,Fediguth,1113,1595,-,5,3377,62
14,Okhaldhunga,Fulbari,1648,1592,-,57,3861,95
15,Okhaldhunga,Gamnangtar,1146,1395,1,12,2243,82
16,Okhaldhunga,Harkapur,918,1140,-,6,1851,152
17,Okhaldhunga,Jantarkhani,1145,299,56,86,790,42
18,Okhaldhunga,Jyamire,742,887,-,11,2128,53
19,Okhaldhunga,Kalikadevi,829,738,-,-,2160,30
20,Okhaldhunga,Khigikati,991,377,4,85,1055,210
21,Okhaldhunga,Katunje,1570,1728,-,270,3154,80
22,Okhaldhunga,Ketuke,1204,867,-,51,2185,201
23,Okhaldhunga,Khiji Chandeshwori,1037,327,2,31,850,167
24,Okhaldhunga,Khijifalate,2784,1310,32,42,2675,160
25,Okhaldhunga,Kuibhir,1168,793,-,-,1132,283
26,Okhaldhunga,Kuntadevi,871,795,-,22,2348,26
27,Okhaldhunga,Madhavpur,1711,708,-,-,2624,429
28,Okhaldhunga,Mamkha,1513,1444,-,16,1476,418
29,Okhaldhunga,Manebhanjyang,1578,682,-,100,2934,446
30,Okhaldhunga,Moli,1298,551,-,236,1842,338
31,Okhaldhunga,Mulkharka,1435,1220,-,74,2216,381
32,Okhaldhunga,Narmedeshwor,862,524,-,17,1936,61
33,Okhaldhunga,Okhaldhunga,745,613,-,10,1193,346
34,Okhaldhunga,Palapu,2908,954,-,12,4807,716
35,Okhaldhunga,Palte,3021,872,346,76,2143,30
36,Okhaldhunga,Pokali,1306,1151,-,-,1902,62
37,Okhaldhunga,Pokhare,766,603,-,-,1397,33
38,Okhaldhunga,Prapcha,479,466,-,-,903,57
39,Okhaldhunga,Ragadeep,1024,836,-,33,538,273
40,Okhaldhunga,Ragani,1597,1695,20,21,2463,79
41,Okhaldhunga,Raniban,937,856,1,-,2218,40
42,Okhaldhunga,Ratmata,1085,806,-,-,1217,209
43,Okhaldhunga,Rawadolu,854,343,30,91,1257,68
44,Okhaldhunga,Rumjatar,1109,401,-,836,1890,190
45,Okhaldhunga,Salleri,493,631,-,17,1381,19
46,Okhaldhunga,Serna,1004,570,-,-,1050,129
47,Okhaldhunga,Shreechaur,963,1258,-,13,1319,45
48,Okhaldhunga,Singhadevi,1172,803,3,1,2594,122
49,Okhaldhunga,Sisneri,2217,1378,-,-,4545,537
50,Okhaldhunga,Taluwa,1305,730,-,-,2568,187
51,Okhaldhunga,Tarkerabari,798,731,-,36,1260,88
52,Okhaldhunga,Thakle,1723,512,-,28,3769,331
53,Okhaldhunga,Toksel,1403,685,-,2,2561,423
54,Okhaldhunga,Thulachhap,1650,975,-,-,3171,187
55,Okhaldhunga,Ubu,1926,738,-,436,4419,917
56,Okhaldhunga,Yasam,1067,1015,-,8,2328,43
57,Total,-,70847,49315,526,3261,118601,12077
