_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Panchthar,Aangna,1531,622,4,122,2998,577
2,Panchthar,Aangsarang,1944,810,3,34,3565,1396
3,Panchthar,Aarubote,1688,352,4,83,2988,776
4,Panchthar,Amarpur,2505,1483,-,41,5362,852
5,Panchthar,Bharapa,2494,1565,-,138,5517,1474
6,Panchthar,Chilingdin,1294,130,-,-,1677,1090
7,Panchthar,Chokmagu,1078,589,1,21,1831,664
8,Panchthar,Chyangthapu,1480,190,22,70,1231,392
9,Panchthar,Durdimba,1469,308,-,25,3387,544
10,Panchthar,Ekteen,2505,1016,2,326,3348,902
11,Panchthar,Embung,809,270,-,41,1342,571
12,Panchthar,Phalaincha,2038,249,81,355,1986,668
13,Panchthar,Hangum,1043,482,-,7,2207,476
14,Panchthar,Kurumba,1148,255,-,2,2362,691
15,Panchthar,Limba,2237,416,-,4,3944,837
16,Panchthar,Lungrupa,2037,537,-,103,2654,1230
17,Panchthar,Lumphabung,1078,463,-,-,1777,699
18,Panchthar,Mangjabung,1362,575,-,4,2760,824
19,Panchthar,Mauwa,2179,824,-,105,4638,610
20,Panchthar,Memeng,2038,340,47,308,2598,785
21,Panchthar,Nagi,1391,810,2,239,2639,961
22,Panchthar,Nangeen,2191,1006,3,41,3523,1180
23,Panchthar,Nawamidanda,1503,749,-,32,2966,1072
24,Panchthar,Olane,972,366,-,-,2049,486
25,Panchthar,Oyam,1543,585,2,132,2119,761
26,Panchthar,Panchami,1954,971,3,142,3260,903
27,Panchthar,Pauwa Sartap,1596,250,2,34,2488,1117
28,Panchthar,Phaktep,1358,207,-,-,2266,1068
29,Panchthar,Phidim,2243,892,-,81,3617,2611
30,Panchthar,Prangbung,2089,187,89,183,2578,911
31,Panchthar,Rabi,1389,229,-,29,2094,488
32,Panchthar,Rani Gaun,2119,1005,-,33,4813,1233
33,Panchthar,Ranitar,2552,685,2,305,3317,1146
34,Panchthar,Sarang Danda,2446,625,-,33,4149,1688
35,Panchthar,Sidin,1634,429,-,72,1997,975
36,Panchthar,Siwa,1102,579,-,23,1914,921
37,Panchthar,Subhang,1937,1010,2,61,3337,1061
38,Panchthar,Syabrumba,1634,831,-,205,3626,612
39,Panchthar,Tharpu,1453,795,-,81,2711,847
40,Panchthar,Yanganam,1909,490,-,53,3374,1943
41,Panchthar,Yasok,1821,759,-,22,4859,1152
42,Total,-,70793,24936,269,3590,121868,39194
