_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Ramechhap,Bamti Bhandar,1113,485,196,29,2245,36
2,Ramechhap,Betali,1063,1076,7,15,3642,131
3,Ramechhap,Bethan,752,1215,-,2,5944,19
4,Ramechhap,Gagal Bhadaure,884,971,-,-,2880,45
5,Ramechhap,Bhatauli,1449,968,-,12,3698,211
6,Ramechhap,Bhirpani,970,1087,-,-,4200,156
7,Ramechhap,Bhujee,1177,666,-,-,1715,343
8,Ramechhap,Bijulikot,1693,1663,-,-,4835,332
9,Ramechhap,Chanakhu,617,519,-,9,1408,50
10,Ramechhap,Chisapani,866,683,-,-,3481,151
11,Ramechhap,Chuchure,999,480,94,45,2119,1
12,Ramechhap,Dadhuwa,1427,1265,-,31,4104,110
13,Ramechhap,Deurali,1312,1019,-,-,3555,197
14,Ramechhap,Dimipokhari,1025,884,3,11,3485,322
15,Ramechhap,Doramba,782,813,-,174,3027,236
16,Ramechhap,Duragaun,1194,1265,-,1,2611,124
17,Ramechhap,Farpu,699,716,2,-,2199,62
18,Ramechhap,Gelu,1615,1787,-,-,6904,241
19,Ramechhap,Goswara,1119,737,109,18,2494,416
20,Ramechhap,Gothgaun,1014,849,-,38,2772,107
21,Ramechhap,Gumdel,1372,548,801,78,1847,12
22,Ramechhap,Gunsi Bhadaure,1136,1481,-,5,5444,272
23,Ramechhap,Gupteshwor,1007,565,-,12,1500,129
24,Ramechhap,Hiledevi,729,1055,-,-,3968,238
25,Ramechhap,Himganga,2296,1178,-,-,5313,712
26,Ramechhap,Kathjor,1447,1285,-,25,4603,93
27,Ramechhap,Khandadevi,1015,1023,-,1,3336,269
28,Ramechhap,Khaniyapani,1015,1226,-,-,5949,351
29,Ramechhap,Khimti,1046,1382,2,13,3962,81
30,Ramechhap,Kubukasthali,1372,440,12,39,2687,162
31,Ramechhap,Lakhanpur,1227,1855,-,20,5816,293
32,Ramechhap,Majuwa,724,616,-,-,2409,73
33,Ramechhap,Makadum,709,690,-,-,2278,15
34,Ramechhap,Bhaluwajor,1817,664,-,104,4584,307
35,Ramechhap,Manthali,1007,735,1,59,3736,272
36,Ramechhap,Nagdaha,1132,946,-,-,3216,261
37,Ramechhap,Namadi,1132,1069,-,84,3099,53
38,Ramechhap,Okhreni,1381,945,-,5,4029,663
39,Ramechhap,Pakarbas,1737,1534,-,148,6598,240
40,Ramechhap,Phulasi,1757,1552,-,8,5841,315
41,Ramechhap,Pinkhuri,642,767,-,-,2156,68
42,Ramechhap,Pritee,1916,1460,-,16,3656,384
43,Ramechhap,Puranagaun,618,987,-,45,3123,257
44,Ramechhap,Rakathum,938,774,1,-,2962,364
45,Ramechhap,Ramechhap,2097,955,-,3,5577,661
46,Ramechhap,Rampur,2042,1136,-,75,4860,434
47,Ramechhap,Rasanalu,1486,1085,-,53,3760,369
48,Ramechhap,Saipu,896,828,-,-,2376,151
49,Ramechhap,Salu,1253,764,-,84,3149,259
50,Ramechhap,Sanghutar,925,655,-,74,2669,74
51,Ramechhap,Sukajor,1531,879,-,40,4287,413
52,Ramechhap,Sunarpani,728,497,-,29,2592,142
53,Ramechhap,Those,1050,435,-,84,1929,4
54,Ramechhap,Tilpung,1069,1063,-,8,4000,177
55,Ramechhap,Tokarpur,1007,822,-,19,2509,220
56,Total,-,65026,53044,1228,1516,197138,12078
