_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Rasuwa,Bhorle,1174,1900,81,310,3492,
2,Rasuwa,Bridhim,446,-,85,1,13,
3,Rasuwa,Chilime,1225,7,363,571,732,
4,Rasuwa,Dandagoun,327,798,7,33,1915,
5,Rasuwa,Dhunche,467,343,155,22,880,
6,Rasuwa,Gatlang,1288,15,301,1274,968,
7,Rasuwa,Goljung,723,38,17,368,533,
8,Rasuwa,Haku,1028,415,-,438,2004,
9,Rasuwa,Dhaibung,686,1220,2,-,3423,
10,Rasuwa,Laharepouwa,705,1295,2,-,3098,
11,Rasuwa,Langtang,93,"",653,29,25,
12,Rasuwa,Ramche,758,982,59,-,1241,
13,Rasuwa,Saramthali,755,1270,1,-,2150,
14,Rasuwa,Syafru,770,19,467,56,512,
15,Rasuwa,Thulogoun,265,441,1,-,1086,
16,Rasuwa,Thuman,685,3,109,60,299,
17,Rasuwa,Timure,523,30,197,60,261,
18,Rasuwa,Yarsa,2505,1359,289,452,2493,
19,Total,-,14423,10135,2789,3674,25125,
