_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Rolpa,Aresh,2149,869,-,310,1985,20
2,Rolpa,Bhabang,2583,861,-,421,3867,104
3,Rolpa,Mirul,2228,364,-,587,1985,19
4,Rolpa,Budagaun,4467,380,-,524,5086,549
5,Rolpa,Dhawang,3497,1128,-,717,3936,60
6,Rolpa,Dubring,4343,63,-,148,6136,286
7,Rolpa,Dubidanda,3529,125,-,111,4110,102
8,Rolpa,Eriwang,2602,1030,-,315,2788,93
9,Rolpa,Fagaam,2765,559,-,389,3183,318
10,Rolpa,Gaam,3959,633,-,1544,3336,220
11,Rolpa,Gairigaun,3297,546,-,231,3653,137
12,Rolpa,Gajul,2827,1293,-,478,4671,34
13,Rolpa,Gharti Gaun,2789,845,-,344,3700,130
14,Rolpa,Ghodagaun,1315,421,-,78,2958,6
15,Rolpa,Gumchal,1937,1420,-,308,1756,59
16,Rolpa,Harjang,1664,539,-,118,1649,150
17,Rolpa,Jailwang,2698,205,-,1788,3087,260
18,Rolpa,Jaimakasala,2621,354,-,133,3678,262
19,Rolpa,Jangkot,1741,725,-,315,3426,153
20,Rolpa,Jaulipokhari,3739,428,-,48,4505,273
21,Rolpa,Jedwang,2867,428,-,66,4028,91
22,Rolpa,Jhenam,5214,201,-,109,5322,219
23,Rolpa,Jinabang,2281,1168,-,783,3523,104
24,Rolpa,Jungar,3475,715,-,622,3749,152
25,Rolpa,Kareti,1976,94,-,66,2617,49
26,Rolpa,Khumel,1785,589,-,534,2865,7
27,Rolpa,Khungri,1744,629,-,206,3593,25
28,Rolpa,Korchabang,2528,186,-,303,3348,204
29,Rolpa,Kotgaun,2811,429,-,269,3506,154
30,Rolpa,Kureli,1790,747,-,387,1782,24
31,Rolpa,Liwang,2972,1086,-,427,5475,156
32,Rolpa,Masina,4023,502,-,101,4313,390
33,Rolpa,Mijhing,2935,1293,-,392,4285,41
34,Rolpa,Nuwagaun,3784,266,-,31,4442,382
35,Rolpa,Pachhabang,1962,1450,-,167,2384,62
36,Rolpa,Pakhapani,2208,1322,-,554,2894,14
37,Rolpa,Pang,2818,1091,-,186,1489,124
38,Rolpa,Rangkot,2132,936,-,169,2101,69
39,Rolpa,Rangsi,2852,1661,-,262,3378,395
40,Rolpa,Rank,2326,1467,-,1268,2821,12
41,Rolpa,Sakhi,2722,67,-,26,3558,50
42,Rolpa,Seram,1955,203,-,590,2408,337
43,Rolpa,Sirpa,2868,2098,-,193,2650,63
44,Rolpa,Siuri,1305,170,-,273,927,156
45,Rolpa,Talabang,3011,869,-,698,3222,130
46,Rolpa,Tewang,1871,762,-,219,2134,16
47,Rolpa,Thabang,4037,76,-,1206,1705,586
48,Rolpa,Uwa,5218,55,-,1571,2499,771
49,Rolpa,Badachaur,2532,1698,-,270,2581,84
50,Rolpa,Hwama,3063,676,-,946,4338,28
51,Rolpa,Wot,2797,755,-,564,2869,125
52,Total,-,142612,36477,-,22365,166301,8255
