_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Rukum,Aathbisdandagaun,2163,1287,7,897,2561,54
2,Rukum,Aathbiskot,2613,1221,3,641,3594,399
3,Rukum,Arma,853,1162,-,668,1697,-
4,Rukum,Banfikot,1348,1489,-,108,2333,7
5,Rukum,Bhalakcha,1302,1053,-,502,1590,9
6,Rukum,Bijayaswori,2534,662,-,267,2617,141
7,Rukum,Chhiwang,1250,1286,-,634,2226,3
8,Rukum,Chaukhawang,1098,1122,2,234,2232,12
9,Rukum,Chunwang,1718,901,-,141,2104,77
10,Rukum,Duli,1262,1751,2,544,3152,25
11,Rukum,Garayala,1818,1372,-,296,2447,89
12,Rukum,Gotamkot,2728,948,1,811,2609,24
13,Rukum,Ghetma,1762,1178,-,651,3425,8
14,Rukum,Hukam,1965,168,-,1748,642,22
15,Rukum,Jang,2488,591,-,210,1383,270
16,Rukum,Jhula,933,867,1,152,1722,104
17,Rukum,Kanda,2031,383,-,319,1850,231
18,Rukum,Kankri,4514,117,7,5657,1776,1604
19,Rukum,Khara,1795,2028,-,930,3093,40
20,Rukum,Kholagaun,1866,1249,-,405,2998,35
21,Rukum,Kol,3365,142,-,475,1635,1213
22,Rukum,Kotjahari,1960,453,3,435,2678,45
23,Rukum,Magma,1777,1679,3,354,2424,51
24,Rukum,Mahat,3569,846,-,189,2279,705
25,Rukum,Morawang,1441,368,-,285,1244,457
26,Rukum,Muru,1109,1255,1,350,1699,66
27,Rukum,Khalanga,1386,1493,-,466,2871,87
28,Rukum,Nuwakot,1729,1298,2,588,2263,46
29,Rukum,Pipal,1381,1188,-,130,1966,21
30,Rukum,Pokhara,1586,951,-,344,2124,39
31,Rukum,Purtimkanda,2854,1039,-,367,3029,8
32,Rukum,Pwang,908,552,-,274,1446,30
33,Rukum,Peugha,1195,1389,-,425,2155,34
34,Rukum,Rangsi,1962,88,-,162,809,929
35,Rukum,Ranmamaikot,3950,112,2,3028,2032,45
36,Rukum,Rugha,1332,1167,-,277,2008,52
37,Rukum,Sankha,1852,1828,-,1223,3805,56
38,Rukum,Simli,1390,1405,-,476,2524,13
39,Rukum,Sisne,1512,157,-,1205,1069,-
40,Rukum,Rukumkot,2349,891,-,359,3439,87
41,Rukum,Syalakhadi,2416,770,3,1242,2480,137
42,Rukum,Syalapakha,1364,1386,-,978,3438,244
43,Rukum,Taksera,3179,78,-,7917,3256,1309
44,Total,-,83607,41370,37,37364,98724,8828
