_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Rupandehi,Aama,1935,935,-,1,2034,1
2,Rupandehi,Aanandaban,986,1485,-,14,2176,150
3,Rupandehi,Paschim Amuwa,1264,1666,-,32,3993,35
4,Rupandehi,Asuraina,1167,787,-,-,1412,3
5,Rupandehi,Bagaha,408,493,-,2,969,-
6,Rupandehi,Bagauli,1414,674,-,290,2078,-
7,Rupandehi,Bairghat,1090,462,-,-,369,4
8,Rupandehi,Basantapur,754,696,-,4,1342,9
9,Rupandehi,Betakuiya,931,484,-,164,1076,170
10,Rupandehi,Bhagawanpur,1858,765,-,13,1720,5
11,Rupandehi,Bishnupura,2895,1391,-,4,2619,93
12,Rupandehi,Bodawar,1407,766,-,4,2483,82
13,Rupandehi,Bogadi,1678,1059,-,111,2037,62
14,Rupandehi,Butwal Municipality,783,1352,-,166,5812,989
15,Rupandehi,Chhipagadh,766,674,-,6,2042,21
16,Rupandehi,Chhotaki Ramnagar,859,540,-,-,1493,21
17,Rupandehi,Chilhiya,619,606,-,-,1349,14
18,Rupandehi,Dayanagar,1908,1452,-,12,3392,15
19,Rupandehi,Devdaha,3664,2572,-,37,9788,1719
20,Rupandehi,Dhakadhai,854,553,-,7,1673,28
21,Rupandehi,Dhamauli,887,511,-,11,1403,53
22,Rupandehi,Dudharaksha,2297,3113,-,22,7441,206
23,Rupandehi,Ekala,1935,1052,-,13,1800,-
24,Rupandehi,Pharena,756,299,-,28,942,8
25,Rupandehi,Gajedi,2647,2144,-,91,5047,239
26,Rupandehi,Gangoliya,1006,1023,-,60,2141,39
27,Rupandehi,Gonaha,1928,1298,-,45,2247,-
28,Rupandehi,Harnaiya,875,747,-,4,1459,13
29,Rupandehi,Hati Bangai,695,762,-,5,1233,14
30,Rupandehi,Hati Pharsatikar,623,634,-,17,1359,34
31,Rupandehi,Jogada,1216,324,-,86,732,20
32,Rupandehi,Kamahariya,3351,2001,-,192,5078,-
33,Rupandehi,Karahiya,1081,1715,-,17,2548,249
34,Rupandehi,Karauta,1658,767,-,2,1693,30
35,Rupandehi,Kerwani,1931,2141,-,10,5652,296
36,Rupandehi,Khadawa Bangai,1507,1308,-,-,3762,102
37,Rupandehi,Khudabagar,685,432,-,10,1585,7
38,Rupandehi,Lumbini Aadarsha,1337,581,-,1,1587,73
39,Rupandehi,Madhawaliya,628,822,-,44,1833,165
40,Rupandehi,Madhuwani,752,470,-,16,1226,34
41,Rupandehi,Mainahiya,1190,884,-,2,1515,-
42,Rupandehi,Majhagawa,982,499,-,441,1059,10
43,Rupandehi,Makrahar,2300,2254,-,614,5824,248
44,Rupandehi,Manmateriya,1832,1517,-,28,3327,9
45,Rupandehi,Manpakadi,1160,1213,-,1,2318,44
46,Rupandehi,Maryadapur,1071,627,-,142,1315,90
47,Rupandehi,Masina,890,300,-,-,849,1
48,Rupandehi,Motipur,559,1632,-,4,4965,289
49,Rupandehi,Padsari,442,712,-,9,1058,80
50,Rupandehi,Pajarkatti,680,560,-,-,1252,-
51,Rupandehi,Sakraun Pakadi,1118,711,-,6,1499,10
52,Rupandehi,Parroha,2326,2564,-,54,7739,568
53,Rupandehi,Patakhauli,753,476,-,8,1427,33
54,Rupandehi,Pokharvindi,851,664,-,89,1498,60
55,Rupandehi,Rayapur,1774,1181,-,50,1944,81
56,Rupandehi,Roinihawa,778,390,-,21,805,75
57,Rupandehi,Rudrapur,4351,3536,-,240,7595,982
58,Rupandehi,Sadi,1296,500,-,"",1189,18
59,Rupandehi,Saljhandi,1637,1886,-,131,4382,247
60,Rupandehi,Semara Marchawar,1056,899,-,178,1480,40
61,Rupandehi,Semlar,1117,1955,-,14,3913,81
62,Rupandehi,Shankar Nagar,1534,1016,-,29,2431,154
63,Rupandehi,Siddharthanagar Municipality,1593,1556,-,54,2621,137
64,Rupandehi,Siktahan,1567,1032,-,15,3542,103
65,Rupandehi,Silautiya,1451,1038,-,11,1239,50
66,Rupandehi,Sipawa,1342,536,-,72,1303,84
67,Rupandehi,Sauraha Pharsatikar,773,1932,-,2,3376,104
68,Rupandehi,Suryapura,3670,2618,-,231,5885,51
69,Rupandehi,Tenuhawa,1279,390,-,2,1285,6
70,Rupandehi,Thumhawa Piparhawa,794,366,-,31,767,59
71,Rupandehi,Tikuligadh,1183,2185,-,4,5305,136
72,Total,-,98384,79185,-,4024,185332,8853
