_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Salyan,Badagaun,1802,596,-,340,2283,18
2,Salyan,Bafukhola,1129,926,-,481,1968,3
3,Salyan,Bajh Kanda,2169,199,-,969,2523,31
4,Salyan,Bame,3697,729,-,535,4309,9
5,Salyan,Bhalchaur,3026,1295,-,492,3425,12
6,Salyan,Chande,4112,588,-,789,4594,146
7,Salyan,Chhayachhetra,2672,63,-,377,6595,141
8,Salyan,Damachaur,2377,834,-,1275,4114,68
9,Salyan,Dandagaun,2673,199,-,435,4982,109
10,Salyan,Darmakot,1791,973,-,623,1761,6
11,Salyan,Devsthal,1735,303,-,444,4581,172
12,Salyan,Dhajari Pipal,3452,183,-,495,7660,115
13,Salyan,Dhakadam,2646,1642,-,627,3225,23
14,Salyan,Dhanwang,3117,278,-,76,5584,152
15,Salyan,Hiwalcha,2920,56,-,292,5425,14
16,Salyan,Jimali,1522,421,-,366,2319,44
17,Salyan,Kabhrechaur,4114,240,-,324,5209,343
18,Salyan,Kajeri,2235,85,-,113,4265,37
19,Salyan,Kalagaun,3127,992,-,580,4386,11
20,Salyan,Kalimati Kalche,4518,493,-,172,6561,240
21,Salyan,Kalimati Rampur,4069,482,-,45,8165,215
22,Salyan,Karagithi,1820,2,-,237,3103,226
23,Salyan,Kavra,1885,160,-,110,4273,174
24,Salyan,Khalanga,1782,130,-,510,3473,182
25,Salyan,Korbang Jhimpe,3705,654,-,961,5124,171
26,Salyan,Kotbara,2272,1197,-,1114,3262,96
27,Salyan,Kotmala,1630,834,-,916,3524,22
28,Salyan,Kupinde Daha,4179,123,-,177,7063,229
29,Salyan,Laxmipur,3298,193,-,223,6455,88
30,Salyan,Lekhpokhara,1761,303,-,749,2775,143
31,Salyan,Majh Kanda,3257,171,-,60,7043,768
32,Salyan,Marke,2899,122,-,276,3873,45
33,Salyan,Marmaparikanda,2478,791,-,398,3450,217
34,Salyan,Mulkhola,2659,387,-,754,3803,48
35,Salyan,Nigalchula,1909,320,-,57,3258,69
36,Salyan,Phalawang,2870,278,-,107,6494,89
37,Salyan,Pipal Neta,910,286,-,450,1552,22
38,Salyan,Rim,2934,118,-,209,4145,134
39,Salyan,Saijuwal Takura,1585,62,-,142,3520,34
40,Salyan,Sarpani Garpa,3294,96,-,55,4786,305
41,Salyan,Sibaratha,2554,1166,-,1199,3201,127
42,Salyan,Siddheswar,3403,300,-,1316,4482,140
43,Salyan,Sinwang,2290,193,-,509,3115,48
44,Salyan,Suikot,3304,620,-,1117,4571,185
45,Salyan,Syanikhal,2370,146,-,750,4138,172
46,Salyan,Tharmare,3600,1162,-,1756,5018,54
47,Salyan,Tribeni,2509,129,-,858,3976,136
48,Total,-,126060,21520,-,24860,203411,5833
