_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Saptari,Arnaha,1488,289,-,1,1975,19
2,Saptari,Aurahi,1289,477,-,-,1398,31
3,Saptari,Badgama,2469,452,-,-,1409,19
4,Saptari,Bairawa,1618,544,-,-,1250,-
5,Saptari,Bakdhauwa,2695,904,-,501,4030,389
6,Saptari,Bamangamakatti,2080,247,-,3,1860,19
7,Saptari,Banainiya,1063,232,-,3,1120,33
8,Saptari,Banarjhula,1125,167,-,-,1737,33
9,Saptari,Banaula,780,240,-,-,1135,28
10,Saptari,Banauli,1147,270,-,-,1424,30
11,Saptari,Baramjhiya,1689,221,-,101,1273,66
12,Saptari,Barsain (Ko.),1370,291,-,-,774,6
13,Saptari,Basbalpur,1165,183,-,48,1462,50
14,Saptari,Basbiti,946,336,-,-,1175,20
15,Saptari,Bathanaha,1037,306,-,-,136,10
16,Saptari,Belhi,824,319,-,1,1173,13
17,Saptari,Belhichapena,1576,539,-,33,1362,44
18,Saptari,Bhagawatpur,1203,326,-,2,965,-
19,Saptari,Bhangaha,1676,264,-,1,2432,-
20,Saptari,Bhardaha,2835,834,-,-,2740,58
21,Saptari,Bhutahi,964,310,-,5,1599,25
22,Saptari,Birpur Barahi,1742,605,-,-,2143,18
23,Saptari,Bishahariya,1969,816,-,-,2364,60
24,Saptari,Bodebarsaien,951,199,-,-,1614,-
25,Saptari,Boriya,1298,691,-,-,843,30
26,Saptari,Brahmapur,1263,310,-,12,1766,13
27,Saptari,Chhinnamasta,2010,778,-,24,2777,75
28,Saptari,Dadha,1288,448,-,2,1427,34
29,Saptari,Daulatpur,1781,469,-,43,2148,33
30,Saptari,Deuri,1266,406,-,-,1753,-
31,Saptari,Deurimaruwa,965,359,-,-,899,23
32,Saptari,Dhanagadi,1304,426,-,-,1592,4
33,Saptari,Dharampur,1516,501,-,6,2040,103
34,Saptari,Dhodhanpur,2015,396,-,95,1606,281
35,Saptari,Didhawa,1230,442,-,29,1189,13
36,Saptari,Diman,1399,495,-,11,1609,12
37,Saptari,Fakira,1368,397,-,"",1361,8
38,Saptari,Farseth,867,485,-,167,851,56
39,Saptari,Fatepur,2398,679,-,"",5062,429
40,Saptari,Fulkahi,1024,353,-,191,1766,12
41,Saptari,Gamhariya Parwaha,1546,444,-,-,1746,-
42,Saptari,Gobar Gada,929,830,-,41,344,16
43,Saptari,Goithi,987,409,-,-,775,1
44,Saptari,Hanumannagar,892,157,-,4,896,4
