_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Sindhuli,Amale,838,779,-,12,3541,29
2,Sindhuli,Arunthakur,3374,1429,-,68,6701,278
3,Sindhuli,Bahuntilpung,1609,957,-,-,2190,84
4,Sindhuli,Balajor,3022,916,-,-,5446,746
5,Sindhuli,Baseshwor,1629,826,-,5,3894,266
6,Sindhuli,Bastipur,1238,873,-,7,3109,195
7,Sindhuli,Belghari,2000,784,-,120,3656,204
8,Sindhuli,Bhadrakali,1868,958,-,47,4970,126
9,Sindhuli,Bhimeshwor,746,568,-,-,2049,45
10,Sindhuli,Bhimsthan,3095,1176,-,60,5499,346
11,Sindhuli,Bhuwaneshori Gwaltar,1051,481,-,2,2335,137
12,Sindhuli,Bitijor Bagaiya,1116,676,-,-,2688,112
13,Sindhuli,Dadiguranshe,2256,887,-,-,5237,434
14,Sindhuli,Dudbhanjyang,1575,814,-,124,3797,231
15,Sindhuli,Dudhouli,1969,813,-,6,3261,143
16,Sindhuli,Hariharpur Gadhi,4470,905,-,21,6725,202
17,Sindhuli,Harsahi,2136,368,-,-,3121,158
18,Sindhuli,Hatpate,3558,1291,-,-,6356,384
19,Sindhuli,Jalkanya,423,629,-,64,1979,27
20,Sindhuli,Jarayotar,4514,1411,-,149,6378,922
21,Sindhuli,Jhangajholi Ratmata,1286,1650,-,208,5324,484
22,Sindhuli,Jinakhu,3633,1264,-,294,6166,389
23,Sindhuli,Kakur Thakur,3183,957,-,16,5792,312
24,Sindhuli,Kalpabrishykha,5201,1666,-,405,6283,714
25,Sindhuli,Kamalamai Municipality,9964,3389,-,123,22144,1315
26,Sindhuli,Kapilakot,5852,1575,-,-,11317,1034
27,Sindhuli,Khang Sang,1091,966,-,79,3040,308
28,Sindhuli,Kholagaun,1351,967,-,-,2770,111
29,Sindhuli,Kuseswor Dumja,1012,1474,-,69,4293,563
30,Sindhuli,Kyaneshwor,6133,1855,-,37,10888,300
31,Sindhuli,Ladabhir,2540,1478,-,-,6070,212
32,Sindhuli,Lampantar,3200,1147,-,6,5105,433
33,Sindhuli,Mahadevdada,2565,953,-,219,3724,585
34,Sindhuli,Mahadevsthan,3272,1045,-,-,5850,419
35,Sindhuli,Mahendra jhyadi,3027,1229,-,1,4978,833
36,Sindhuli,Majhuwa,591,905,-,-,3278,27
37,Sindhuli,Netrakali,579,1188,-,6,2678,6
38,Sindhuli,Nipane,1945,379,-,-,2520,163
39,Sindhuli,Pipalmadi,3683,1956,-,127,5895,1177
40,Sindhuli,Purano Jhangajholi,1359,1522,-,17,5635,236
41,Sindhuli,Ranibas,2081,543,-,8,3109,314
42,Sindhuli,Ranichuri,5409,1268,-,26,11692,616
43,Sindhuli,Ratanchura,1213,822,-,-,3465,88
44,Sindhuli,Ratnawati,1637,744,-,1,3856,492
45,Sindhuli,Santeswori (Rampur),667,807,-,3,2459,138
46,Sindhuli,Sirthouli,3290,786,-,1,4668,249
47,Sindhuli,Sitalpati,1330,1150,-,115,3868,298
48,Sindhuli,Solpathana,1206,661,-,69,2726,162
49,Sindhuli,Sunam Pokhari,1117,796,-,13,2887,163
50,Sindhuli,Tamajor,545,750,-,7,2023,13
51,Sindhuli,Tandi,3754,1298,-,2,5294,511
52,Sindhuli,Tinkanya,2732,751,-,-,6142,519
53,Sindhuli,Tosramkhola,1340,574,-,15,2243,198
54,Sindhuli,Ambote,2869,974,-,-,4257,189
55,Total,-,133144,57030,-,2552,265371,18640
