_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Siraha,Arnamalalpur,1846,889,-,-,1201,66
2,Siraha,Arnamarampur,560,270,-,3,690,7
3,Siraha,Asanpur,1240,613,-,156,1340,77
4,Siraha,Ashokpur Balkawa,503,180,-,-,498,-
5,Siraha,Aurahi,1277,329,-,-,1125,11
6,Siraha,Ayodhyanagar,805,535,-,-,1441,11
7,Siraha,Badharamal,2505,1429,-,-,4598,70
8,Siraha,Barchhawa,687,499,-,4,596,2
9,Siraha,Bariyarpatti,1134,462,-,1,1440,19
10,Siraha,Bastipur,1293,457,-,-,1499,18
11,Siraha,Belaha,707,419,-,-,905,-
12,Siraha,Belhi,928,482,-,-,767,1
13,Siraha,Betauna,889,390,-,266,914,5
14,Siraha,Bhadaiya,1155,366,-,-,1519,16
15,Siraha,Bhagwanpur,1026,412,-,-,1286,-
16,Siraha,Bhagawatipur,922,657,-,5,1886,25
17,Siraha,Bhawanipur,1106,275,-,-,978,6
18,Siraha,Bhawanpur Kalabanzar,727,551,-,-,1329,-
19,Siraha,Bhokraha,288,85,-,-,167,11
20,Siraha,Bishnupur Pra.Ma.,718,432,-,-,351,-
21,Siraha,Bishnupur Pra.Ra,1014,534,-,-,563,1
22,Siraha,Bishnupurkatti,3831,3032,-,269,11477,118
23,Siraha,Brahmagaughadi,744,345,-,17,823,29
24,Siraha,Chandra Ayodhyapur,943,565,-,4,883,7
25,Siraha,Chandralalpur,712,655,-,-,1090,8
26,Siraha,Chandrodayapur,1252,474,-,-,1611,55
27,Siraha,Chatari,358,145,-,3,305,3
28,Siraha,Chikana,624,317,-,-,227,9
29,Siraha,Devipur,675,368,-,-,630,19
30,Siraha,Dhangadi,1914,722,-,5,2368,170
31,Siraha,Dhodhana,1817,398,-,17,2647,45
32,Siraha,Dumari,821,418,-,-,686,-
33,Siraha,Durgapur,862,292,-,-,554,14
34,Siraha,Fulbariya,1922,982,-,-,3723,18
35,Siraha,Fulkaha Kati,2540,1168,-,-,2064,6
36,Siraha,Gadha,1021,510,-,68,1167,99
37,Siraha,Gauripur,683,437,-,-,773,8
38,Siraha,Gautari,633,175,-,-,785,-
39,Siraha,Govindapur Malahanama,1715,722,-,2,1933,37
40,Siraha,Govindpur Taregana,1761,396,-,60,2301,103
41,Siraha,Hakpara,977,613,-,-,1261,-
42,Siraha,Hanumannagar,1140,431,-,1,1122,2
43,Siraha,Hanumannagar (Pra.Dha.),814,220,-,-,574,-
44,Siraha,Harakatti,729,292,-,20,807,3
45,Siraha,Inarwa,2547,1092,-,31,2982,13
46,Siraha,Itarhawa,1041,401,-,35,1249,21
47,Siraha,Itari Parsahi,784,290,-,-,715,6
48,Siraha,Itatar,1173,495,-,78,1035,68
49,Siraha,Jamadaha,1264,339,-,-,2681,53
50,Siraha,Janakinagar,967,319,-,33,524,2
51,Siraha,Jighaul,1130,694,-,43,1540,54
