_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Solukhumbu,Baku,3037,828,85,236,3101,759
2,Solukhumbu,Basa,1884,603,-,17,1423,408
3,Solukhumbu,Beni,1310,31,596,-,257,4
4,Solukhumbu,Bhakanje,829,196,346,-,808,8
5,Solukhumbu,Bung,2587,1358,66,453,574,1311
6,Solukhumbu,Chaulakharka,1181,506,5,257,2085,9
7,Solukhumbu,Chaurikharka,766,3,283,4,77,137
8,Solukhumbu,Chheskam,2220,438,44,407,1145,898
9,Solukhumbu,Deusa,2570,1018,1,42,1499,764
10,Solukhumbu,Garma,984,455,-,-,1257,38
11,Solukhumbu,Goli,1452,506,211,-,1891,19
12,Solukhumbu,Gorakhani,845,205,212,5,890,15
13,Solukhumbu,Gudel,2592,652,290,380,579,1038
14,Solukhumbu,Jubing,2120,225,168,11,1432,417
15,Solukhumbu,Jubu,2356,879,-,137,2006,337
16,Solukhumbu,Kaku,2826,914,111,229,2732,384
17,Solukhumbu,Kangel,1276,556,4,97,1767,96
18,Solukhumbu,Khumjung,6,-,2064,8,-,-
19,Solukhumbu,Kerung,1630,565,53,20,1677,83
20,Solukhumbu,Tamakhani,576,72,172,4,513,2
21,Solukhumbu,Lokhim,1560,1045,-,94,744,411
22,Solukhumbu,Pawai,1416,787,7,95,1362,299
23,Solukhumbu,Mukali,1517,718,-,257,1594,257
24,Solukhumbu,Namche,178,-,1127,11,2,-
25,Solukhumbu,Necha Batase,1243,1060,3,7,819,473
26,Solukhumbu,Necha Bedghari,1348,1246,2,6,1858,375
27,Solukhumbu,Nele,774,607,2,13,1164,73
28,Solukhumbu,Panchan,1133,407,1,-,1118,275
29,Solukhumbu,Salleri,1718,394,120,22,1736,173
30,Solukhumbu,Salyan,2564,1604,4,22,1985,503
31,Solukhumbu,Sotang,2413,1831,5,401,1908,453
32,Solukhumbu,Takasindu,1632,177,425,202,473,177
33,Solukhumbu,Tapting,1265,238,71,31,943,19
34,Solukhumbu,Tingla,1523,1013,4,154,2239,262
35,Total,-,53331,21137,6482,3622,43658,10477
