_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Sunsari,Ekamba,3338,119,-,-,2678,182
2,Sunsari,Amaduwa,3920,552,-,1,3945,162
3,Sunsari,Amahibelaha,3205,642,-,35,2954,133
4,Sunsari,Aurabani,3351,260,-,9,2162,519
5,Sunsari,Babiya,2919,667,-,-,2276,13
6,Sunsari,Bakalauri,5655,890,-,1,6681,1095
7,Sunsari,Barahachhetra,3780,728,-,38,8175,1719
8,Sunsari,Basantapur,1691,820,-,5,1478,5
9,Sunsari,Bhadgaun Sinawari,3863,437,-,10,3618,570
10,Sunsari,Bhaluwa,2153,32,-,2,1821,350
11,Sunsari,Bharaul,6064,1666,-,9,10637,1528
12,Sunsari,Bhokraha,5685,1987,-,11,5934,214
13,Sunsari,Bishnupaduka,2398,30,-,18,6749,1404
14,Sunsari,Chandwela,3101,105,-,20,2395,272
15,Sunsari,Chhitaha,4889,484,-,13,3371,269
16,Sunsari,Chimadi,3206,294,-,-,2707,343
17,Sunsari,Dewanganj,1911,734,-,8,1558,27
18,Sunsari,Dharan Municipality,1788,372,-,53,6142,7430
19,Sunsari,Ghuskee,2135,630,-,38,1846,26
20,Sunsari,Duhabi,2962,250,-,1,2318,389
21,Sunsari,Dumraha,7358,1022,-,39,7561,395
22,Sunsari,Gautampur,1482,524,-,-,983,22
23,Sunsari,Hansaposa,3325,767,-,16,4734,1626
24,Sunsari,Harinagara,2913,257,-,574,1476,277
25,Sunsari,Haripur,3950,1350,-,19,2378,42
26,Sunsari,Inaruwa Municipality,4673,885,-,24,3903,292
27,Sunsari,Itahari Municipality,5477,1403,-,61,8256,3518
28,Sunsari,Jalpapur,1984,83,-,-,1644,19
29,Sunsari,Kaptanganj,3034,1316,-,562,1878,26
30,Sunsari,Khanar,3949,236,-,21,3512,1171
31,Sunsari,Laukahi,1153,291,-,69,939,191
32,Sunsari,Madhelee,3064,46,-,7,2213,331
33,Sunsari,Madhesa,2662,395,-,-,2712,100
34,Sunsari,Madhuwan,2681,669,-,4,2839,275
35,Sunsari,Madhyaharshahi,2269,836,-,513,1553,24
36,Sunsari,Mahendranagar,7280,2833,-,34,11430,2501
37,Sunsari,Narsinghatappu,6460,2297,-,106,4728,150
38,Sunsari,Pakali,2901,275,-,7,2826,383
39,Sunsari,Panchakanya,3417,772,-,422,8117,2934
40,Sunsari,Pashchim Kushaha,3854,1041,-,11,3309,132
41,Sunsari,Prakashpur,5502,3104,-,109,7693,1581
42,Sunsari,Purbakushaha,3441,315,-,-,2645,208
43,Sunsari,Ramganj Belgachhi,3395,707,-,11,2994,70
44,Sunsari,Rajganj Sinuwari,4184,1628,-,41,3381,94
45,Sunsari,Ramnagar Bhutaha,3214,491,-,17,3902,35
46,Sunsari,Sahebganj,1261,581,-,258,855,11
47,Sunsari,Satterjhora,4561,790,-,1,3316,212
48,Sunsari,Simariya,2207,92,-,24,1710,429
49,Sunsari,Singiya,4588,708,-,2,5424,358
50,Sunsari,Sonapur,2611,123,-,9,2099,398
51,Sunsari,Sripurjabdi,3461,1649,-,216,2730,251
52,Sunsari,Tanamuna,2914,108,-,2,2119,328
53,Total,-,183239,39293,-,3451,195304,35034
