_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Surkhet,Agragaun,1524,473,-,7,3206,4
2,Surkhet,Awalching,1512,530,-,1,2533,11
3,Surkhet,Babiyachaur,3192,477,-,1324,3030,172
4,Surkhet,Bajedichaur,1909,487,-,52,4086,1
5,Surkhet,Betan,2359,96,-,6,4486,224
6,Surkhet,Bidyapur,3019,551,-,1,3998,251
7,Surkhet,Bijaura,3047,233,-,"",5692,435
8,Surkhet,Birendranagar Municipality,2221,579,-,129,7206,1053
9,Surkhet,Chapre,2329,695,-,48,5114,28
10,Surkhet,Chhinchu,4054,1195,-,394,6452,254
11,Surkhet,Dahachaur,1722,172,-,46,3076,228
12,Surkhet,Dandakhali,1241,371,-,311,2656,54
13,Surkhet,Dasarathpur,1802,430,-,3,3349,65
14,Surkhet,Dharapani,1773,400,-,40,3458,351
15,Surkhet,Gadi Bayalkada,1495,724,-,47,3802,66
16,Surkhet,Garpan,1657,596,-,-,3934,41
17,Surkhet,Ghat Gaun,1887,522,-,-,2253,183
18,Surkhet,Ghoreta,1765,583,-,5,2861,6
19,Surkhet,Ghumkhahare,2502,407,-,256,3573,264
20,Surkhet,Gumi,3012,308,-,25,5304,368
21,Surkhet,Guthu,3090,468,-,3,5410,219
22,Surkhet,Hariharpur,3446,212,-,1,6039,97
23,Surkhet,Jarbuta,2313,765,-,8,4296,146
24,Surkhet,Kafalkot,1567,581,-,-,2647,-
25,Surkhet,Kalyan,3624,312,-,-,5167,692
26,Surkhet,Kaprichaur,1935,203,-,254,3705,81
27,Surkhet,Khanikholla,2553,413,-,101,4100,19
28,Surkhet,Kunathari,4487,300,-,384,7115,598
29,Surkhet,Lagaam,3212,294,-,-,7073,97
30,Surkhet,Latikoili,3647,316,-,2069,4072,268
31,Surkhet,Lekhfarsa,2710,457,-,70,4311,302
32,Surkhet,Lekhgaun,3371,244,-,2,6103,357
33,Surkhet,Lekhparajul,5923,634,-,100,13187,90
34,Surkhet,Maintada,4109,577,-,803,4485,353
35,Surkhet,Malarani,2812,461,-,197,4799,429
36,Surkhet,Matela,3608,1201,-,3,5093,30
37,Surkhet,Mehelkuna,3283,460,-,564,3536,359
38,Surkhet,Neta,2595,559,-,40,4787,286
39,Surkhet,Pamka,1757,480,-,5,3278,61
40,Surkhet,Pokharikanda,3262,179,-,1,5150,139
41,Surkhet,Rajena,2235,775,-,86,4805,12
42,Surkhet,Rakam,1519,184,-,61,2723,54
43,Surkhet,Ramghat,2507,642,-,113,3917,232
44,Surkhet,Ranibas,2222,926,-,-,3068,1
45,Surkhet,Ratu,1113,352,-,14,3181,7
46,Surkhet,Sahare,4526,811,-,357,6588,497
47,Surkhet,Salkot,4422,404,-,11,5453,234
48,Surkhet,Satakhani,4506,817,-,13,6266,898
49,Surkhet,Taranga,4001,281,-,1,6683,48
50,Surkhet,Tatopani,2577,434,-,-,2722,36
51,Surkhet,Uttarganga,2344,387,-,134,4507,325
52,Total,-,139298,24958,-,8090,234335,11026
