_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Syangja,Alamadevi,565,1393,-,13,2890,483
2,Syangja,Arjun Chaupari,803,1816,-,23,2901,30
3,Syangja,Aruchaur,476,979,-,54,1154,-
4,Syangja,Arukharka,417,1245,-,25,1010,14
5,Syangja,Bagefadke,177,388,-,-,424,13
6,Syangja,Bahakot,421,573,-,-,1932,186
7,Syangja,Benethok Deurali,1301,1573,-,381,3318,70
8,Syangja,Bhatkhola,185,571,-,11,720,22
9,Syangja,Bichari Chautara,293,826,-,8,928,4
10,Syangja,Birgha,719,1839,-,9,3020,502
11,Syangja,Biruwa Archale,868,1066,-,-,2728,380
12,Syangja,Chandi Bhanjyang,995,1385,-,-,4834,390
13,Syangja,Chapakot,741,1476,-,69,2476,158
14,Syangja,Chhangchhangdi,455,1065,-,48,1785,82
15,Syangja,Chilaunebas,351,1056,-,11,1054,-
16,Syangja,Chinnebas,1809,2007,-,16,4442,547
17,Syangja,Magyam Chisapani,1557,1520,-,-,3869,319
18,Syangja,Chitre Bhanjyang,1299,1302,-,222,3166,785
19,Syangja,Darsing Dahathum,599,1521,-,65,2636,83
20,Syangja,Dhapuk Simal Bhanjyang,776,1236,-,-,2070,34
21,Syangja,Faparthum,312,873,-,17,992,9
22,Syangja,Fedikhola,439,1470,-,-,1993,18
23,Syangja,Jagat Bhanjyang,474,1296,-,6,3246,153
24,Syangja,Jagatradevi,361,1648,-,-,2734,567
25,Syangja,Kalikakot,748,1739,-,84,2307,97
26,Syangja,Kolma Barahachaur,462,531,-,19,1186,210
27,Syangja,Keware Bhanjyang,649,1140,-,24,2337,217
28,Syangja,Khilung Deurali,647,1651,-,48,2539,25
29,Syangja,Kichanash,1249,2015,-,1,4051,364
30,Syangja,Kuwakot,1143,1914,-,-,3183,467
31,Syangja,Kyakmi,2242,2140,-,4,4581,749
32,Syangja,Majhakot Sivalaya,385,631,-,-,1711,3
33,Syangja,Malunga,381,1083,-,197,1462,56
34,Syangja,Malyangkot,1365,1951,-,18,4917,501
35,Syangja,Manakamana,1544,1685,-,-,5002,402
36,Syangja,Nibuwakharka,410,1598,-,-,2471,319
37,Syangja,Oraste,908,1274,-,18,2563,287
38,Syangja,Pakwadi,1097,2809,-,-,4595,236
39,Syangja,Panchamul,615,1593,-,127,1412,8
40,Syangja,Pauwegaude,341,878,-,102,2068,43
41,Syangja,Pelakot,505,2366,-,16,3115,154
42,Syangja,Pelkachaur,545,589,-,198,1594,25
43,Syangja,Pidikhola,570,2104,-,-,3092,83
44,Syangja,Putalibazar Municipality,2800,6360,-,203,9693,701
45,Syangja,Rangvang,902,777,-,230,2316,83
46,Syangja,Rapakot,632,1430,-,207,1984,16
47,Syangja,Ratnapur,1023,1458,-,2,2368,234
48,Syangja,Sakhar,1708,1712,-,6,4674,288
49,Syangja,Darau,267,777,-,2,1200,26
50,Syangja,Sekham,1354,1834,-,13,4309,207
51,Syangja,Setidobhan,335,757,-,30,1051,19
52,Syangja,Shreekrishna Gandaki,914,3002,-,22,4375,697
53,Syangja,Sirsekot,550,1320,-,244,1747,37
54,Syangja,Sworek,828,1943,-,345,2761,76
55,Syangja,Taksar,520,799,-,143,1622,19
56,Syangja,Thuladihi,613,1073,-,6,2714,219
57,Syangja,Thumpokhara,590,1800,-,3,2093,105
58,Syangja,Tindobate,456,1507,-,-,1754,257
59,Syangja,Tulsibhanjyang,396,1636,-,-,1800,131
60,Syangja,Waling Municipality,1440,4233,-,15,5047,367
61,Syangja,Bangsing Deurali,353,990,-,15,1120,7
62,Syangja,Yaladi,394,788,-,15,1804,4
63,Total,-,48274,94011,-,3335,164940,12588
