_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Tanahu,Anbukhaireni,3600,1737,-,-,9475,881
2,Tanahu,Arunodaya,2426,1679,-,13,4606,963
3,Tanahu,Baidi,3192,1312,-,-,7090,844
4,Tanahu,Bandipur,3919,1366,-,11,9686,870
5,Tanahu,Barbhanjyang,1484,1201,-,330,5153,199
6,Tanahu,Basantapur,1098,1128,-,31,3612,150
7,Tanahu,Bhanu,2942,2497,-,49,10625,627
8,Tanahu,Bhanumati,1583,1543,-,5,5326,487
9,Tanahu,Bhimad,818,1212,-,32,3047,423
10,Tanahu,Bhirkot,2602,1623,-,43,5822,1003
11,Tanahu,Byas Municipality,4164,3462,-,192,16692,1435
12,Tanahu,Chhang,1541,1198,-,-,5365,703
13,Tanahu,Chhimkeshwori,1174,607,-,-,3252,124
14,Tanahu,Chhipchhipe,1487,716,-,10,3533,210
15,Tanahu,Chok Chisapani,955,1031,-,31,4069,43
16,Tanahu,Deurali,1904,795,-,-,4489,117
17,Tanahu,Devghat,2873,1078,-,8,7807,568
18,Tanahu,Dharampani,2015,474,-,6,5205,95
19,Tanahu,Dhorfirdi,2934,3467,-,61,8736,502
20,Tanahu,Dulegaunda,679,1275,-,55,3483,462
21,Tanahu,Firfire,1213,1086,-,-,3202,22
22,Tanahu,Gajarkot,1800,1956,-,4,4335,620
23,Tanahu,Ghansikuwa,2254,1450,-,-,8460,445
24,Tanahu,Jamune Bhanjyang,2116,1731,-,31,7374,757
25,Tanahu,Kahu Shivapur,3748,1468,-,-,8582,1937
26,Tanahu,Keshavtar,2706,824,-,633,4916,510
27,Tanahu,Khairenitar,1600,1344,-,44,4237,771
28,Tanahu,Kihun,1698,1312,-,51,3469,1573
29,Tanahu,Kota,2175,527,-,-,5677,333
30,Tanahu,Kotdarbar,2853,1344,-,2,6880,1599
31,Tanahu,Kyamin,1599,1440,-,20,6231,152
32,Tanahu,Majhakot,3192,2199,-,18,8165,1247
33,Tanahu,Manpang,2401,1535,-,-,6826,602
34,Tanahu,Pokhari Bhanjyang,1229,537,-,704,3710,301
35,Tanahu,Purkot,1361,1802,-,33,6267,71
36,Tanahu,Raipur,1457,1424,-,260,3522,96
37,Tanahu,Ramjakot,2217,1528,-,8,5026,1087
38,Tanahu,Ranipokhari (Resing),1279,1290,-,3,4326,509
39,Tanahu,Risti,500,864,-,27,1974,89
40,Tanahu,Rupakot,781,1533,-,-,3839,1
41,Tanahu,Satiswara,859,1219,-,-,3915,83
42,Tanahu,Shamung Bhagawatipur,3265,2165,-,1,6855,1787
43,Tanahu,Shymgha,1484,1863,-,14,5026,164
44,Tanahu,Sundhara (Ghiring),3774,2214,-,71,6006,1560
45,Tanahu,Tanahunsur,1076,788,-,45,2835,269
46,Tanahu,Thaprek,792,1034,-,40,2397,55
47,Tanahu,Mirlung,1442,1780,-,131,6575,102
48,Total,"",94261,67658,-,3017,267700,27448
