_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Taplejung,Ambegudin,1261,829,8,136,1712,291
2,Taplejung,Angkhop,1457,399,1,403,1927,398
3,Taplejung,Chaksibote,461,218,-,11,580,207
4,Taplejung,Change,1739,461,9,78,2905,1108
5,Taplejung,Dhungesanghu,1410,341,-,70,2281,955
6,Taplejung,Dokhu,1053,538,-,107,2135,811
7,Taplejung,Dummrise,736,341,12,3,1120,393
8,Taplejung,Ekhabu,1046,35,5,193,1461,479
9,Taplejung,Hangdewa,1234,475,-,110,2371,588
10,Taplejung,Hangpang,1789,577,25,127,2920,964
11,Taplejung,Kalikhola,828,68,90,133,644,51
12,Taplejung,Khamlung,539,130,21,5,709,443
13,Taplejung,Khejenim,899,63,1,102,1310,417
14,Taplejung,Khewang,1177,452,35,81,2117,359
15,Taplejung,Khokling,1489,551,-,67,2443,574
16,Taplejung,Lelep,1407,10,663,283,1350,499
17,Taplejung,Limbudin,870,264,4,135,1206,444
18,Taplejung,Lingtep,550,83,1,32,799,417
19,Taplejung,Linkhim,754,110,-,131,1702,527
20,Taplejung,Liwang,616,190,1,78,1018,552
21,Taplejung,Mamangkhe,381,199,-,20,712,260
22,Taplejung,Mehele,1097,412,17,87,1653,246
23,Taplejung,Nalbu,653,176,9,69,757,478
24,Taplejung,Nangkholyang,1337,627,2,52,2054,653
25,Taplejung,Nidhuradin,1167,478,3,46,2149,379
26,Taplejung,Olangchung Gola,1,-,536,2,45,-
27,Taplejung,Papung,814,82,780,130,743,276
28,Taplejung,Pedang,1007,314,30,55,1350,231
29,Taplejung,Phakumba,1688,511,124,134,2296,1117
30,Taplejung,Phawakhola,642,245,5,300,919,258
31,Taplejung,Phulbari,1639,784,-,72,3348,578
32,Taplejung,Phungling,2454,876,9,293,5037,2452
33,Taplejung,Phurumbu,1020,259,-,151,1712,355
34,Taplejung,Sadewa,518,115,-,29,707,159
35,Taplejung,Sanghu,1468,339,11,156,1877,972
36,Taplejung,Santhakra,1028,234,7,147,1440,756
37,Taplejung,Sanwa,749,296,21,50,1222,613
38,Taplejung,Sawandin,556,97,-,15,652,340
39,Taplejung,Sablakhu,898,370,-,115,1560,374
40,Taplejung,Sikaicha,922,422,46,11,1464,462
41,Taplejung,Sinam,735,312,-,6,1730,451
42,Taplejung,Surumkhim,1172,191,103,256,948,193
43,Taplejung,Tapethok,441,3,-,54,882,307
44,Taplejung,Tellok,985,364,-,40,1511,354
45,Taplejung,Thechambu,1385,742,41,216,2569,638
46,Taplejung,Thinglabu,1100,147,29,303,1455,647
47,Taplejung,Thukimma,833,317,5,211,1153,694
48,Taplejung,Thumbedin,980,469,-,3,1909,384
49,Taplejung,Tiringe,689,428,2,96,1312,259
50,Taplejung,Yamfudin,548,52,223,211,452,137
51,Total,-,50222,15996,2879,5615,78328,25500
