_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Terhathum,Ambung,1041,294,-,77,1881,631
2,Terhathum,Angdeem,817,234,-,16,1648,507
3,Terhathum,Basantapur,1421,579,-,68,3660,887
4,Terhathum,Chhate Dhunga,1774,694,-,26,3382,889
5,Terhathum,Chuhandanda,1736,696,-,-,3526,778
6,Terhathum,Dangapa,1250,229,-,57,2355,671
7,Terhathum,Eseebu,1071,548,-,-,2360,474
8,Terhathum,Ewa,1691,740,-,160,3258,480
9,Terhathum,Hamarjung,1532,290,-,22,3021,550
10,Terhathum,Hwaku,1606,667,-,173,2891,404
11,Terhathum,Jaljale,1676,620,-,102,3072,676
12,Terhathum,Jirikhimti,914,332,-,32,2177,582
13,Terhathum,Khamlalung,1442,376,-,36,2163,584
14,Terhathum,Morahang,1325,410,-,36,2382,616
15,Terhathum,Myanglung,1392,591,-,12,3865,860
16,Terhathum,Okhre,2068,726,-,46,4571,615
17,Terhathum,Oyakjung,1715,851,-,120,3799,697
18,Terhathum,Panchakanya Pokhari,1523,357,-,42,3091,574
19,Terhathum,Phakchamara,1642,343,-,62,4163,831
20,Terhathum,Phulek,863,260,-,-,1395,189
21,Terhathum,Piple,688,322,-,5,1644,78
22,Terhathum,Pouthak,900,254,-,7,1221,470
23,Terhathum,Sabla,814,158,-,25,1299,630
24,Terhathum,Samdu,1051,345,-,15,1925,648
25,Terhathum,Sankranti Bazar,1326,565,-,14,2557,495
26,Terhathum,Shree Jung,1039,358,-,86,1440,527
27,Terhathum,Simle,2086,722,-,-,3880,727
28,Terhathum,Solma,1795,625,-,57,4094,737
29,Terhathum,Sudap,1655,345,-,93,3468,847
30,Terhathum,Sungnam,1778,357,-,178,3260,851
31,Terhathum,Tamfula,842,295,-,7,1556,382
32,Terhathum,Thoklung,1528,618,-,4,3163,527
33,Total,-,44001,14801,-,1578,88167,19414
