_id,Districts,VDC/Municipality,Cattle,Buffalo,Yak/ Nak/ Chauri,Sheep,Goat,Pig
1,Udayapur,Aanptar,2043,766,-,7,5410,683
2,Udayapur,Balamta,1570,369,-,-,3474,634
3,Udayapur,Baraha,977,984,-,-,2767,154
4,Udayapur,Barre,2613,1163,-,21,7003,375
5,Udayapur,Bansbote,1351,399,-,27,3174,578
6,Udayapur,Bashaha,3011,1135,-,6,4992,2411
7,Udayapur,Beltar,3391,1156,-,183,6610,1960
8,Udayapur,Bhuttar,1517,1066,-,10,5315,215
9,Udayapur,Chaudandi,2550,183,-,-,4668,573
10,Udayapur,Dumre,1416,483,-,16,4214,255
11,Udayapur,Hadiya,5322,1761,-,-,8352,447
12,Udayapur,Hardeni,2059,744,-,-,5086,75
13,Udayapur,Iname,1132,662,-,5,2266,336
14,Udayapur,Jalpachilaune,2154,194,-,3,5497,577
15,Udayapur,Jante,785,662,-,-,2564,266
16,Udayapur,Jogidaha,2455,679,-,13,3974,332
17,Udayapur,Katari,5004,1461,-,6,7720,1337
18,Udayapur,Katunje Babala,3655,192,-,-,7665,1293
19,Udayapur,Khanbu,2626,411,-,-,6359,675
20,Udayapur,Laphagaun,1245,592,-,128,3291,331
21,Udayapur,Lekhani,1644,386,-,-,3897,456
22,Udayapur,Lekhgaun,1402,303,-,7,2367,428
23,Udayapur,Limpatar,1748,345,-,2,3901,368
24,Udayapur,Mainamaini,3188,141,-,242,6897,1458
25,Udayapur,Nametar,608,826,-,67,2051,141
26,Udayapur,Okhale,1439,293,-,6,3343,422
27,Udayapur,Pachchawati,5468,805,-,-,12120,944
28,Udayapur,Pokhari,1482,817,-,45,4135,418
29,Udayapur,Rauta,3039,717,-,81,7783,1128
30,Udayapur,Risku,3985,414,-,62,5691,890
31,Udayapur,Rupatar,1879,814,-,18,5019,370
32,Udayapur,Saune,1780,99,-,-,3801,530
33,Udayapur,Shorung Chhabise,2622,648,-,248,5072,425
34,Udayapur,Siddhipur,1825,41,-,-,4151,830
35,Udayapur,Sirise,2994,319,-,49,5758,390
36,Udayapur,Sundarpur,2395,666,-,1,3234,236
37,Udayapur,Tamlichha,1318,606,-,-,2540,474
38,Udayapur,Tapeswori,4960,2781,-,55,9126,634
39,Udayapur,Tawashree,3854,540,-,497,7532,827
40,Udayapur,Thanagau,1192,389,-,3,2468,271
41,Udayapur,Thoksila,8664,3156,-,366,13386,2359
42,Udayapur,Tribeni,3218,1476,-,49,7426,421
43,Udayapur,Triyuga Municipality,15961,4302,-,475,33224,3339
44,Udayapur,Valayadanda,4952,1052,-,40,13673,596
45,Udayapur,Mayankhu,1528,599,-,3,2726,197
46,Total,-,130021,37597,-,2741,271722,32059
